# delay / ps , transient absorption / mOD
2.200000000000000011e-01,1.271748178558182296e+01
2.399999999999999911e-01,1.337910656905178541e+01
2.600000000000000089e-01,1.466782890616529400e+01
2.800000000000000266e-01,1.451590405089649316e+01
2.999999999999999889e-01,1.450309907423287648e+01
3.200000000000000067e-01,1.484505954890783919e+01
3.400000000000000244e-01,1.529659901596584248e+01
3.599999999999999867e-01,1.490410625006160394e+01
3.800000000000000044e-01,1.502200127320085521e+01
4.000000000000000222e-01,1.514243880221116356e+01
4.199999999999999845e-01,1.534146584193046792e+01
4.400000000000000022e-01,1.523802663500420884e+01
4.599999999999999645e-01,1.551352646118877665e+01
4.799999999999999822e-01,1.545377078995339915e+01
5.000000000000000000e-01,1.545580692982018967e+01
5.200000000000000178e-01,1.521712919572625999e+01
5.400000000000000355e-01,1.541487345190350666e+01
5.600000000000000533e-01,1.533466967605050257e+01
5.799999999999999600e-01,1.554942515915010581e+01
5.999999999999999778e-01,1.556262281540164594e+01
6.199999999999999956e-01,1.556228425919902669e+01
6.400000000000000133e-01,1.546893551798097199e+01
6.600000000000000311e-01,1.556152964419091234e+01
6.800000000000000488e-01,1.573528589415395196e+01
7.000000000000000666e-01,1.578192818265715047e+01
7.199999999999999734e-01,1.547666085094651045e+01
7.399999999999999911e-01,1.584170632205757734e+01
7.600000000000000089e-01,1.538742999142750811e+01
7.800000000000000266e-01,1.559819311353510329e+01
8.000000000000000444e-01,1.578568101852125594e+01
8.200000000000000622e-01,1.577484246231863274e+01
8.399999999999999689e-01,1.566951618926563050e+01
8.599999999999999867e-01,1.572442544851393720e+01
8.800000000000000044e-01,1.575089707752388080e+01
9.000000000000000222e-01,1.573131620378310380e+01
9.199999999999999289e-01,1.586685591724391742e+01
9.400000000000000577e-01,1.587766445318121455e+01
9.599999999999999645e-01,1.592773933718926394e+01
9.800000000000000933e-01,1.561759288204404150e+01
1.000000000000000000e+00,1.580590539648759041e+01
1.020000000000000018e+00,1.592702297450247073e+01
1.040000000000000036e+00,1.588579945030728879e+01
1.059999999999999831e+00,1.596402212073132354e+01
1.080000000000000071e+00,1.560187131080829559e+01
1.099999999999999867e+00,1.568580081021872275e+01
1.120000000000000107e+00,1.577301375880658618e+01
1.139999999999999902e+00,1.597240666949130805e+01
1.159999999999999920e+00,1.584680159140250133e+01
1.179999999999999938e+00,1.581730031839877881e+01
1.199999999999999956e+00,1.596774940665630105e+01
1.219999999999999973e+00,1.569516657995608355e+01
1.239999999999999991e+00,1.587723175644830853e+01
1.260000000000000009e+00,1.600608563362793646e+01
1.280000000000000027e+00,1.594827591159463154e+01
1.299999999999999822e+00,1.617728289928759011e+01
1.320000000000000062e+00,1.610884615146105503e+01
1.339999999999999858e+00,1.585682472520292663e+01
1.360000000000000098e+00,1.597919487835876673e+01
1.379999999999999893e+00,1.581219563090185964e+01
1.400000000000000133e+00,1.599400564229899402e+01
1.419999999999999929e+00,1.589844752608710010e+01
1.439999999999999947e+00,1.596199140618993617e+01
1.459999999999999964e+00,1.586624357641866290e+01
1.479999999999999982e+00,1.593377669277840880e+01
1.500000000000000000e+00,1.604584681709643590e+01
1.520000000000000018e+00,1.601346320901530973e+01
1.539999999999999813e+00,1.613939719307228060e+01
1.560000000000000053e+00,1.577631950233363867e+01
1.579999999999999849e+00,1.582466474254504440e+01
1.600000000000000089e+00,1.594992825524452407e+01
1.619999999999999885e+00,1.599931776615065537e+01
1.640000000000000124e+00,1.590748084490295788e+01
1.659999999999999920e+00,1.590909618059457209e+01
1.679999999999999938e+00,1.598386153070509330e+01
1.699999999999999956e+00,1.602313977133357881e+01
1.719999999999999973e+00,1.591485503483208142e+01
1.739999999999999991e+00,1.608471124124269735e+01
1.760000000000000009e+00,1.595518828125770128e+01
1.780000000000000027e+00,1.594911827248807512e+01
1.800000000000000044e+00,1.582599807587837759e+01
1.819999999999999840e+00,1.598528530110594836e+01
