# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,2.564058823529411502e-01
3.517059736572107909e+02,2.843284092111119676e+01,2.555843137254901754e-01
3.526531531878623582e+02,2.835647408680019765e+01,2.320039215686274525e-01
3.536003327185139256e+02,2.828051637598591128e+01,2.288960784313725516e-01
3.545475122491654929e+02,2.820496450972781233e+01,2.177960784313725806e-01
3.554946917798170603e+02,2.812981524403100053e+01,1.963980392156862709e-01
3.564418713104686276e+02,2.805506536938187878e+01,1.900490196078431226e-01
3.573890508411201381e+02,2.798071171029123505e+01,1.880058823529411616e-01
3.583362303717717054e+02,2.790675112484456122e+01,1.599176470588235255e-01
3.592834099024232728e+02,2.783318050425949508e+01,1.465039215686274598e-01
3.602305894330748401e+02,2.775999677245022568e+01,1.466647058823529470e-01
3.611777689637264075e+02,2.768719688559877667e+01,1.416490196078431241e-01
3.621249484943779180e+02,2.761477783173299372e+01,1.383921568627450860e-01
3.630721280250294853e+02,2.754273663031115404e+01,1.229803921568627390e-01
3.640193075556810527e+02,2.747107033181304914e+01,1.123411764705882360e-01
3.649664870863326200e+02,2.739977601733746582e+01,9.999803921568625742e-02
3.659136666169841874e+02,2.732885079820585617e+01,1.015274509803921615e-01
3.668608461476356979e+02,2.725829181557222824e+01,9.272549019607843890e-02
3.678080256782873221e+02,2.718809624003896985e+01,9.172549019607841025e-02
3.687552052089388326e+02,2.711826127127871189e+01,1.012627450980392030e-01
3.697023847395903999e+02,2.704878413766187251e+01,8.710588235294115800e-02
3.706495642702419673e+02,2.697966209589002418e+01,8.872941176470587610e-02
3.715967438008935346e+02,2.691089243063478520e+01,1.020509803921568759e-01
3.725439233315451020e+02,2.684247245418229610e+01,8.468235294117645862e-02
3.734911028621966125e+02,2.677439950608302155e+01,1.023901960784313614e-01
3.744382823928481798e+02,2.670667095280693815e+01,8.152549019607842340e-02
3.753854619234997472e+02,2.663928418740391280e+01,7.083921568627452037e-02
3.763326414541513145e+02,2.657223662916920404e+01,7.438627450980392353e-02
3.772798209848028819e+02,2.650552572331401535e+01,5.912352941176469978e-02
3.782270005154543924e+02,2.643914894064100451e+01,6.262549019607843714e-02
3.791741800461059597e+02,2.637310377722460686e+01,4.615882352941175909e-02
3.801213595767575271e+02,2.630738775409622932e+01,6.896274509803922148e-02
3.810685391074090944e+02,2.624199841693404878e+01,6.528431372549019229e-02
3.820157186380606618e+02,2.617693333575747872e+01,5.942156862745098106e-02
3.829628981687122291e+02,2.611219010462615131e+01,3.924705882352940572e-02
3.839100776993637965e+02,2.604776634134335467e+01,4.502745098039215993e-02
3.848572572300153070e+02,2.598365968716385765e+01,4.918235294117647566e-02
3.858044367606668743e+02,2.591986780650602640e+01,3.824509803921568446e-02
3.867516162913184417e+02,2.585638838666819339e+01,3.930588235294117661e-02
3.876987958219700090e+02,2.579321913754915840e+01,4.594313725490196260e-02
3.886459753526215763e+02,2.573035779137277856e+01,3.770588235294117935e-02
3.895931548832730869e+02,2.566780210241661919e+01,3.155686274509804379e-02
3.905403344139246542e+02,2.560554984674446288e+01,3.695686274509804581e-02
3.914875139445762215e+02,2.554359882194281894e+01,3.674901960784313776e-02
3.924346934752277889e+02,2.548194684686114186e+01,4.129999999999998950e-02
3.933818730058793562e+02,2.542059176135587606e+01,2.666078431372548990e-02
3.943290525365308667e+02,2.535953142603814214e+01,2.619999999999999760e-02
3.952762320671824909e+02,2.529876372202507184e+01,2.505882352941177227e-02
3.962234115978340014e+02,2.523828655069473825e+01,3.533529411764705502e-02
3.971705911284855688e+02,2.517809783344451446e+01,2.744901960784314199e-02
3.981177706591371361e+02,2.511819551145296714e+01,4.049607843137254665e-02
3.990649501897887035e+02,2.505857754544508254e+01,3.267058823529411793e-02
4.000121297204402708e+02,2.499924191546086760e+01,3.035882352941176449e-02
4.009593092510917813e+02,2.494018662062719116e+01,4.503921568627450994e-02
4.019064887817433487e+02,2.488140967893288646e+01,3.633137254901960822e-02
4.028536683123949160e+02,2.482290912700700503e+01,5.461568627450980040e-02
4.038008478430464834e+02,2.476468301990020748e+01,4.683529411764706524e-02
4.047480273736980507e+02,2.470672943086920270e+01,4.845490196078430789e-02
4.056952069043495612e+02,2.464904645116424220e+01,5.164117647058824589e-02
4.066423864350011854e+02,2.459163218981951005e+01,4.444117647058823395e-02
4.075895659656526959e+02,2.453448477344656453e+01,6.581176470588234739e-02
4.085367454963042633e+02,2.447760234603049412e+01,8.409803921568627383e-02
4.094839250269558306e+02,2.442098306872903990e+01,7.381764705882354338e-02
4.104311045576073980e+02,2.436462511967442168e+01,8.713333333333332653e-02
4.113782840882589653e+02,2.430852669377792097e+01,9.183725490196077701e-02
4.123254636189104758e+02,2.425268600253717111e+01,1.019254901960784249e-01
4.132726431495620432e+02,2.419710127384606935e+01,1.007156862745098025e-01
4.142198226802136105e+02,2.414177075180733212e+01,1.185686274509804017e-01
4.151670022108651779e+02,2.408669269654758338e+01,1.255980392156862691e-01
4.161141817415167452e+02,2.403186538403498673e+01,1.325019607843137270e-01
4.170613612721682557e+02,2.397728710589937151e+01,1.429705882352941271e-01
4.180085408028198231e+02,2.392295616925476409e+01,1.492352941176470771e-01
4.189557203334713904e+02,2.386887089652437410e+01,1.640470588235294347e-01
4.199028998641229578e+02,2.381502962526792544e+01,1.764882352941176402e-01
4.208500793947745251e+02,2.376143070801132495e+01,1.819117647058823284e-01
4.217972589254260356e+02,2.370807251207861555e+01,2.064000000000000279e-01
4.227444384560776598e+02,2.365495341942619234e+01,2.036901960784314181e-01
4.236916179867291703e+02,2.360207182647927482e+01,2.135411764705882620e-01
4.246387975173807376e+02,2.354942614397049638e+01,2.065372549019607873e-01
4.255859770480323050e+02,2.349701479678073213e+01,2.134705882352941064e-01
4.265331565786838723e+02,2.344483622378198362e+01,2.279235294117646637e-01
4.274803361093354397e+02,2.339288887768238467e+01,2.263627450980392475e-01
4.284275156399868933e+02,2.334117122487325702e+01,2.395901960784314055e-01
4.293746951706385175e+02,2.328968174527817325e+01,2.351921568627450831e-01
4.303218747012900849e+02,2.323841893220405197e+01,2.311882352941176388e-01
4.312690542319416522e+02,2.318738129219417843e+01,2.315803921568627688e-01
4.322162337625932196e+02,2.313656734488315792e+01,2.366039215686274733e-01
4.331634132932447301e+02,2.308597562285381599e+01,2.416352941176470592e-01
4.341105928238963543e+02,2.303560467149589641e+01,2.318627450980391969e-01
4.350577723545478648e+02,2.298545304886670593e+01,2.292254901960784352e-01
4.360049518851994321e+02,2.293551932555346440e+01,2.349921568627451052e-01
4.369521314158509995e+02,2.288580208453753073e+01,2.211274509803921595e-01
4.378993109465025668e+02,2.283629992106035544e+01,2.261803921568627807e-01
4.388464904771541342e+02,2.278701144249116339e+01,2.186490196078431647e-01
4.397936700078056447e+02,2.273793526819637023e+01,2.055705882352941438e-01
4.407408495384572120e+02,2.268907002941065443e+01,2.057352941176470718e-01
4.416880290691087225e+02,2.264041436910971683e+01,1.909019607843137345e-01
4.426352085997603467e+02,2.259196694188464605e+01,1.876294117647059057e-01
4.435823881304119141e+02,2.254372641381792164e+01,1.791941176470588371e-01
4.445295676610633677e+02,2.249569146236097694e+01,1.712568627450980763e-01
4.454767471917150488e+02,2.244786077621332510e+01,1.566078431372548985e-01
4.464239267223665024e+02,2.240023305520327668e+01,1.544176470588235484e-01
4.473711062530181266e+02,2.235280701017006422e+01,1.579137254901960552e-01
4.483182857836697508e+02,2.230558136284758319e+01,1.440784313725490262e-01
4.492654653143212045e+02,2.225855484574952570e+01,1.454470588235294015e-01
4.502126448449728287e+02,2.221172620205596715e+01,1.271313725490196000e-01
4.511598243756243392e+02,2.216509418550143451e+01,1.275392156862744930e-01
4.521070039062759065e+02,2.211865756026432095e+01,1.153745098039215683e-01
4.530541834369274170e+02,2.207241510085771807e+01,1.129058823529411615e-01
4.540013629675790412e+02,2.202636559202161592e+01,9.927647058823528547e-02
4.549485424982306085e+02,2.198050782861644592e+01,9.447450980392158026e-02
4.558957220288821190e+02,2.193484061551793829e+01,8.656862745098038714e-02
4.568429015595337432e+02,2.188936276751329757e+01,8.104313725490197573e-02
4.577900810901852537e+02,2.184407310919868195e+01,8.070588235294118284e-02
4.587372606208368211e+02,2.179897047487792250e+01,6.915686274509803833e-02
4.596844401514883316e+02,2.175405370846251429e+01,7.662745098039216995e-02
4.606316196821398989e+02,2.170932166337284386e+01,5.982549019607844021e-02
4.615787992127915800e+02,2.166477320244060678e+01,5.659215686274508827e-02
4.625259787434430905e+02,2.162040719781248299e+01,5.021960784313726084e-02
4.634731582740946010e+02,2.157622253085490271e+01,4.471960784313725595e-02
4.644203378047461683e+02,2.153221809206005943e+01,4.351960784313725628e-02
4.653675173353976220e+02,2.148839278095304550e+01,4.181960784313725615e-02
4.663146968660493030e+02,2.144474550600007845e+01,3.544313725490196715e-02
4.672618763967008135e+02,2.140127518451793520e+01,2.795882352941176860e-02
4.682090559273523240e+02,2.135798074258437040e+01,3.123137254901961132e-02
4.691562354580038914e+02,2.131486111494971425e+01,1.682352941176470940e-02
4.701034149886555156e+02,2.127191524494949348e+01,2.196274509803921443e-02
4.710505945193070829e+02,2.122914208441812534e+01,1.290196078431372385e-02
4.719977740499585934e+02,2.118654059360362751e+01,1.154705882352941200e-02
4.729449535806101608e+02,2.114410974108336561e+01,2.150980392156862792e-03
4.738921331112617281e+02,2.110184850368084142e+01,-7.019607843137243806e-04
4.748393126419132386e+02,2.105975586638341213e+01,-8.831372549019608081e-03
4.757864921725648628e+02,2.101783082226105037e+01,-5.494117647058824674e-03
4.767336717032163733e+02,2.097607237238605293e+01,-5.582352941176472322e-03
4.776808512338680544e+02,2.093447952575368021e+01,-1.238431372549019666e-02
