# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,5.093688362539736669e-01
3.517059736572107909e+02,2.843284092111119676e+01,4.882581725086149738e-01
3.526531531878623582e+02,2.835647408680019765e+01,4.919091422155260629e-01
3.536003327185139256e+02,2.828051637598591128e+01,5.118223654086397900e-01
3.545475122491654929e+02,2.820496450972781233e+01,4.994583641833336141e-01
3.554946917798170603e+02,2.812981524403100053e+01,4.903259699332765398e-01
3.564418713104686276e+02,2.805506536938187878e+01,4.830083420176461972e-01
3.573890508411201381e+02,2.798071171029123505e+01,4.792792876328090812e-01
3.583362303717717054e+02,2.790675112484456122e+01,4.770858250470185191e-01
3.592834099024232728e+02,2.783318050425949508e+01,4.541245690520581135e-01
3.602305894330748401e+02,2.775999677245022568e+01,4.507309729316804625e-01
3.611777689637264075e+02,2.768719688559877667e+01,4.457766756981233480e-01
3.621249484943779180e+02,2.761477783173299372e+01,4.600622655998778954e-01
3.630721280250294853e+02,2.754273663031115404e+01,4.516431807535962184e-01
3.640193075556810527e+02,2.747107033181304914e+01,4.385975085141329277e-01
3.649664870863326200e+02,2.739977601733746582e+01,4.416428421564313478e-01
3.659136666169841874e+02,2.732885079820585617e+01,4.328081269109159690e-01
3.668608461476356979e+02,2.725829181557222824e+01,4.327994024025937914e-01
3.678080256782873221e+02,2.718809624003896985e+01,4.410085008604299195e-01
3.687552052089388326e+02,2.711826127127871189e+01,4.557077208807445157e-01
3.697023847395903999e+02,2.704878413766187251e+01,4.521987832472469937e-01
3.706495642702419673e+02,2.697966209589002418e+01,4.349151982482707401e-01
3.715967438008935346e+02,2.691089243063478520e+01,4.526019213999381563e-01
3.725439233315451020e+02,2.684247245418229610e+01,4.401213177001684351e-01
3.734911028621966125e+02,2.677439950608302155e+01,4.497700111007092438e-01
3.744382823928481798e+02,2.670667095280693815e+01,4.331622216213645848e-01
3.753854619234997472e+02,2.663928418740391280e+01,4.308467286439423005e-01
3.763326414541513145e+02,2.657223662916920404e+01,4.264180465083147187e-01
3.772798209848028819e+02,2.650552572331401535e+01,4.267300192145616622e-01
3.782270005154543924e+02,2.643914894064100451e+01,4.218511954143359666e-01
3.791741800461059597e+02,2.637310377722460686e+01,4.141741674357532488e-01
3.801213595767575271e+02,2.630738775409622932e+01,4.018395634489443924e-01
3.810685391074090944e+02,2.624199841693404878e+01,4.086991133184050828e-01
3.820157186380606618e+02,2.617693333575747872e+01,4.062002591813345109e-01
3.829628981687122291e+02,2.611219010462615131e+01,3.852931452639347665e-01
3.839100776993637965e+02,2.604776634134335467e+01,3.806420087842389277e-01
3.848572572300153070e+02,2.598365968716385765e+01,3.843968147022312487e-01
3.858044367606668743e+02,2.591986780650602640e+01,3.646476023610696893e-01
3.867516162913184417e+02,2.585638838666819339e+01,3.605076600997398906e-01
3.876987958219700090e+02,2.579321913754915840e+01,3.472084515859191756e-01
3.886459753526215763e+02,2.573035779137277856e+01,3.304148358821084042e-01
3.895931548832730869e+02,2.566780210241661919e+01,3.228416280911611813e-01
3.905403344139246542e+02,2.560554984674446288e+01,2.949510038428986292e-01
3.914875139445762215e+02,2.554359882194281894e+01,2.775865387206670754e-01
3.924346934752277889e+02,2.548194684686114186e+01,2.540736245760072953e-01
3.933818730058793562e+02,2.542059176135587606e+01,2.370490088241622717e-01
3.943290525365308667e+02,2.535953142603814214e+01,2.082289334616381771e-01
3.952762320671824909e+02,2.529876372202507184e+01,1.882332147710795156e-01
3.962234115978340014e+02,2.523828655069473825e+01,1.609591133981057576e-01
3.971705911284855688e+02,2.517809783344451446e+01,1.427637895484917818e-01
3.981177706591371361e+02,2.511819551145296714e+01,1.256876625407335468e-01
3.990649501897887035e+02,2.505857754544508254e+01,1.055374468289584783e-01
4.000121297204402708e+02,2.499924191546086760e+01,8.127689216799682814e-02
4.009593092510917813e+02,2.494018662062719116e+01,5.997360717811565933e-02
4.019064887817433487e+02,2.488140967893288646e+01,5.119387323988722205e-02
4.028536683123949160e+02,2.482290912700700503e+01,3.982639484529797158e-02
4.038008478430464834e+02,2.476468301990020748e+01,2.195744867060089867e-02
4.047480273736980507e+02,2.470672943086920270e+01,1.199302237383864655e-02
4.056952069043495612e+02,2.464904645116424220e+01,9.783476892720802814e-03
4.066423864350011854e+02,2.459163218981951005e+01,-6.192672111824523359e-03
4.075895659656526959e+02,2.453448477344656453e+01,-2.166044337907491180e-02
4.085367454963042633e+02,2.447760234603049412e+01,-2.503459321935389004e-02
4.094839250269558306e+02,2.442098306872903990e+01,-3.074834650985569517e-02
4.104311045576073980e+02,2.436462511967442168e+01,-3.067884960490641078e-02
4.113782840882589653e+02,2.430852669377792097e+01,-3.577820624999373395e-02
4.123254636189104758e+02,2.425268600253717111e+01,-2.244798912281833689e-02
4.132726431495620432e+02,2.419710127384606935e+01,-2.817860277754012308e-02
4.142198226802136105e+02,2.414177075180733212e+01,-2.062094654007467359e-02
4.151670022108651779e+02,2.408669269654758338e+01,-2.853325998104998262e-02
4.161141817415167452e+02,2.403186538403498673e+01,-1.400806342576784574e-02
4.170613612721682557e+02,2.397728710589937151e+01,-5.624453149636714222e-03
4.180085408028198231e+02,2.392295616925476409e+01,-2.906609335294826728e-03
4.189557203334713904e+02,2.386887089652437410e+01,1.599144905028652627e-02
4.199028998641229578e+02,2.381502962526792544e+01,3.159755855801855973e-02
4.208500793947745251e+02,2.376143070801132495e+01,3.576641353858488193e-02
4.217972589254260356e+02,2.370807251207861555e+01,5.744006406139059995e-02
