# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,1.500651689659628474e+00
3.517059736572107909e+02,2.843284092111119676e+01,1.536985978537271480e+00
3.526531531878623582e+02,2.835647408680019765e+01,1.520125159779376789e+00
3.536003327185139256e+02,2.828051637598591128e+01,1.534386054232958374e+00
3.545475122491654929e+02,2.820496450972781233e+01,1.540279120155129799e+00
3.554946917798170603e+02,2.812981524403100053e+01,1.551222524409499259e+00
3.564418713104686276e+02,2.805506536938187878e+01,1.581610128859586961e+00
3.573890508411201381e+02,2.798071171029123505e+01,1.578775357666943435e+00
3.583362303717717054e+02,2.790675112484456122e+01,1.598496778109689487e+00
3.592834099024232728e+02,2.783318050425949508e+01,1.615437152624071171e+00
3.602305894330748401e+02,2.775999677245022568e+01,1.628050722584196919e+00
3.611777689637264075e+02,2.768719688559877667e+01,1.644208470279971968e+00
3.621249484943779180e+02,2.761477783173299372e+01,1.669127151745972926e+00
3.630721280250294853e+02,2.754273663031115404e+01,1.688855788392091384e+00
3.640193075556810527e+02,2.747107033181304914e+01,1.690872515764801243e+00
3.649664870863326200e+02,2.739977601733746582e+01,1.728800799864847137e+00
3.659136666169841874e+02,2.732885079820585617e+01,1.743514054768255050e+00
3.668608461476356979e+02,2.725829181557222824e+01,1.767217395691085713e+00
3.678080256782873221e+02,2.718809624003896985e+01,1.793888845659832088e+00
3.687552052089388326e+02,2.711826127127871189e+01,1.821278795040510712e+00
3.697023847395903999e+02,2.704878413766187251e+01,1.856288481177719385e+00
3.706495642702419673e+02,2.697966209589002418e+01,1.862684595531479248e+00
3.715967438008935346e+02,2.691089243063478520e+01,1.882087005348310083e+00
3.725439233315451020e+02,2.684247245418229610e+01,1.892636125305687367e+00
3.734911028621966125e+02,2.677439950608302155e+01,1.908933388978976131e+00
3.744382823928481798e+02,2.670667095280693815e+01,1.893073435732246956e+00
3.753854619234997472e+02,2.663928418740391280e+01,1.903810572559136105e+00
3.763326414541513145e+02,2.657223662916920404e+01,1.889230669098315163e+00
3.772798209848028819e+02,2.650552572331401535e+01,1.888528062130959029e+00
3.782270005154543924e+02,2.643914894064100451e+01,1.889385694594704512e+00
3.791741800461059597e+02,2.637310377722460686e+01,1.888047715578319741e+00
3.801213595767575271e+02,2.630738775409622932e+01,1.860539028685776586e+00
3.810685391074090944e+02,2.624199841693404878e+01,1.859743691350935535e+00
3.820157186380606618e+02,2.617693333575747872e+01,1.844973312536109411e+00
3.829628981687122291e+02,2.611219010462615131e+01,1.815530817663959740e+00
3.839100776993637965e+02,2.604776634134335467e+01,1.789015090619118009e+00
3.848572572300153070e+02,2.598365968716385765e+01,1.762384585812495574e+00
3.858044367606668743e+02,2.591986780650602640e+01,1.726261333421213795e+00
3.867516162913184417e+02,2.585638838666819339e+01,1.680101713016590725e+00
3.876987958219700090e+02,2.579321913754915840e+01,1.634888578432102113e+00
3.886459753526215763e+02,2.573035779137277856e+01,1.566498223864936312e+00
3.895931548832730869e+02,2.566780210241661919e+01,1.499843212922657765e+00
3.905403344139246542e+02,2.560554984674446288e+01,1.413639770150289854e+00
3.914875139445762215e+02,2.554359882194281894e+01,1.329414761256711763e+00
3.924346934752277889e+02,2.548194684686114186e+01,1.235894051170140617e+00
