# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,2.480237592116895928e-01
3.517059736572107909e+02,2.843284092111119676e+01,2.424482489627661497e-01
3.526531531878623582e+02,2.835647408680019765e+01,2.290222132091124241e-01
3.536003327185139256e+02,2.828051637598591128e+01,2.292636848225787782e-01
3.545475122491654929e+02,2.820496450972781233e+01,2.112622506428229741e-01
3.554946917798170603e+02,2.812981524403100053e+01,1.975983148593216387e-01
3.564418713104686276e+02,2.805506536938187878e+01,1.855801114651622619e-01
3.573890508411201381e+02,2.798071171029123505e+01,2.039606916659624791e-01
3.583362303717717054e+02,2.790675112484456122e+01,1.740387217629063843e-01
3.592834099024232728e+02,2.783318050425949508e+01,1.569488374601345215e-01
3.602305894330748401e+02,2.775999677245022568e+01,1.499193285833160805e-01
3.611777689637264075e+02,2.768719688559877667e+01,1.327484736455624148e-01
3.621249484943779180e+02,2.761477783173299372e+01,1.265405472555166111e-01
3.630721280250294853e+02,2.754273663031115404e+01,1.164774778451544285e-01
3.640193075556810527e+02,2.747107033181304914e+01,1.173372600285697426e-01
3.649664870863326200e+02,2.739977601733746582e+01,1.186794598158277120e-01
3.659136666169841874e+02,2.732885079820585617e+01,1.038917298555728785e-01
3.668608461476356979e+02,2.725829181557222824e+01,1.018201014150291878e-01
3.678080256782873221e+02,2.718809624003896985e+01,9.987581311696926145e-02
3.687552052089388326e+02,2.711826127127871189e+01,1.012397457296070058e-01
3.697023847395903999e+02,2.704878413766187251e+01,1.171654394721826226e-01
3.706495642702419673e+02,2.697966209589002418e+01,8.548628051103945857e-02
3.715967438008935346e+02,2.691089243063478520e+01,9.410859977337747428e-02
3.725439233315451020e+02,2.684247245418229610e+01,8.325935976916408465e-02
3.734911028621966125e+02,2.677439950608302155e+01,9.168093349096033406e-02
3.744382823928481798e+02,2.670667095280693815e+01,7.878992103081940146e-02
3.753854619234997472e+02,2.663928418740391280e+01,8.188737585386685058e-02
3.763326414541513145e+02,2.657223662916920404e+01,7.541200985512688804e-02
3.772798209848028819e+02,2.650552572331401535e+01,7.140936394566421708e-02
3.782270005154543924e+02,2.643914894064100451e+01,6.005450743961943116e-02
3.791741800461059597e+02,2.637310377722460686e+01,7.411348770696069010e-02
3.801213595767575271e+02,2.630738775409622932e+01,5.475656913294201650e-02
3.810685391074090944e+02,2.624199841693404878e+01,5.716658141970677731e-02
3.820157186380606618e+02,2.617693333575747872e+01,4.584661367628527912e-02
3.829628981687122291e+02,2.611219010462615131e+01,3.942589888583257485e-02
3.839100776993637965e+02,2.604776634134335467e+01,5.132028676254930810e-02
3.848572572300153070e+02,2.598365968716385765e+01,4.519571497095437040e-02
3.858044367606668743e+02,2.591986780650602640e+01,4.952192044299986995e-02
3.867516162913184417e+02,2.585638838666819339e+01,3.861121365592749821e-02
3.876987958219700090e+02,2.579321913754915840e+01,3.741438898647921063e-02
3.886459753526215763e+02,2.573035779137277856e+01,3.060138367158699371e-02
3.895931548832730869e+02,2.566780210241661919e+01,2.808722900493997726e-02
