# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,9.031868655966491799e-01
3.517059736572107909e+02,2.843284092111119676e+01,9.071830605284203486e-01
3.526531531878623582e+02,2.835647408680019765e+01,9.161740445472343897e-01
3.536003327185139256e+02,2.828051637598591128e+01,9.048674233370410658e-01
3.545475122491654929e+02,2.820496450972781233e+01,9.339556158428627963e-01
3.554946917798170603e+02,2.812981524403100053e+01,9.150305565401813945e-01
3.564418713104686276e+02,2.805506536938187878e+01,9.489449373127870624e-01
3.573890508411201381e+02,2.798071171029123505e+01,9.444188338065844235e-01
3.583362303717717054e+02,2.790675112484456122e+01,9.370862400516609680e-01
3.592834099024232728e+02,2.783318050425949508e+01,9.409826309068403116e-01
3.602305894330748401e+02,2.775999677245022568e+01,9.323079620956414848e-01
3.611777689637264075e+02,2.768719688559877667e+01,9.431001879642373353e-01
3.621249484943779180e+02,2.761477783173299372e+01,9.650498291382836324e-01
3.630721280250294853e+02,2.754273663031115404e+01,9.557498200177574343e-01
3.640193075556810527e+02,2.747107033181304914e+01,9.541245902617270236e-01
3.649664870863326200e+02,2.739977601733746582e+01,9.576218684895638766e-01
3.659136666169841874e+02,2.732885079820585617e+01,9.742725396722623499e-01
3.668608461476356979e+02,2.725829181557222824e+01,9.802691206083091746e-01
3.678080256782873221e+02,2.718809624003896985e+01,1.004954884690690164e+00
3.687552052089388326e+02,2.711826127127871189e+01,1.012842547497261769e+00
3.697023847395903999e+02,2.704878413766187251e+01,1.012604063956530798e+00
3.706495642702419673e+02,2.697966209589002418e+01,1.026697342390686440e+00
3.715967438008935346e+02,2.691089243063478520e+01,1.030287518928090451e+00
3.725439233315451020e+02,2.684247245418229610e+01,1.016482240385458979e+00
3.734911028621966125e+02,2.677439950608302155e+01,1.016702215924556452e+00
3.744382823928481798e+02,2.670667095280693815e+01,1.000360300452831641e+00
3.753854619234997472e+02,2.663928418740391280e+01,1.007157180226005089e+00
3.763326414541513145e+02,2.657223662916920404e+01,9.986730646927393096e-01
3.772798209848028819e+02,2.650552572331401535e+01,9.894606745245450030e-01
3.782270005154543924e+02,2.643914894064100451e+01,9.881218480308853191e-01
3.791741800461059597e+02,2.637310377722460686e+01,9.934554356480528314e-01
3.801213595767575271e+02,2.630738775409622932e+01,9.792074146863392059e-01
3.810685391074090944e+02,2.624199841693404878e+01,9.822403122238334561e-01
3.820157186380606618e+02,2.617693333575747872e+01,9.565073488319457695e-01
3.829628981687122291e+02,2.611219010462615131e+01,9.488495681420677785e-01
