# wavenlength / nm,    wavenumber / 10^3 cm-1, norm. transient absorption
3.507587941265592235e+02,2.850962019327687713e+01,1.594260040637394571e+00
3.517059736572107909e+02,2.843284092111119676e+01,1.607666502928745578e+00
3.526531531878623582e+02,2.835647408680019765e+01,1.607079310255012050e+00
3.536003327185139256e+02,2.828051637598591128e+01,1.600850566967062516e+00
3.545475122491654929e+02,2.820496450972781233e+01,1.613465942356738569e+00
3.554946917798170603e+02,2.812981524403100053e+01,1.626911750623373676e+00
3.564418713104686276e+02,2.805506536938187878e+01,1.633662363341900958e+00
3.573890508411201381e+02,2.798071171029123505e+01,1.632402618291698859e+00
3.583362303717717054e+02,2.790675112484456122e+01,1.676597051696983476e+00
3.592834099024232728e+02,2.783318050425949508e+01,1.673031005474964195e+00
3.602305894330748401e+02,2.775999677245022568e+01,1.701824409777069391e+00
3.611777689637264075e+02,2.768719688559877667e+01,1.720732715112311295e+00
3.621249484943779180e+02,2.761477783173299372e+01,1.741004633747615049e+00
3.630721280250294853e+02,2.754273663031115404e+01,1.763052915773379636e+00
3.640193075556810527e+02,2.747107033181304914e+01,1.789069927721613773e+00
3.649664870863326200e+02,2.739977601733746582e+01,1.829386098712255881e+00
3.659136666169841874e+02,2.732885079820585617e+01,1.861906516420103186e+00
3.668608461476356979e+02,2.725829181557222824e+01,1.884454049870655457e+00
3.678080256782873221e+02,2.718809624003896985e+01,1.934440970965954021e+00
3.687552052089388326e+02,2.711826127127871189e+01,1.970517314141881027e+00
3.697023847395903999e+02,2.704878413766187251e+01,2.009222381690581205e+00
3.706495642702419673e+02,2.697966209589002418e+01,2.034970391930061240e+00
3.715967438008935346e+02,2.691089243063478520e+01,2.074677740243746626e+00
3.725439233315451020e+02,2.684247245418229610e+01,2.079278165215399543e+00
3.734911028621966125e+02,2.677439950608302155e+01,2.105937189106250607e+00
3.744382823928481798e+02,2.670667095280693815e+01,2.112704047238373128e+00
3.753854619234997472e+02,2.663928418740391280e+01,2.130673994632949153e+00
3.763326414541513145e+02,2.657223662916920404e+01,2.114525786702805554e+00
3.772798209848028819e+02,2.650552572331401535e+01,2.125080848255423316e+00
3.782270005154543924e+02,2.643914894064100451e+01,2.128156800074695099e+00
3.791741800461059597e+02,2.637310377722460686e+01,2.133149324301722327e+00
3.801213595767575271e+02,2.630738775409622932e+01,2.130109509234512810e+00
3.810685391074090944e+02,2.624199841693404878e+01,2.123245082292939401e+00
3.820157186380606618e+02,2.617693333575747872e+01,2.112155580581618786e+00
3.829628981687122291e+02,2.611219010462615131e+01,2.088123630417344501e+00
