DCM,,
Wavelength (nm),Abs,
799.9769287,0.04650999606,
799.0043335,0.04649524391,
798.0314331,0.04676690325,
797.0581055,0.04651812091,
795.9453125,0.04640271515,
794.9712524,0.04601718858,
793.9967651,0.04628316313,
793.0219116,0.04585800692,
792.0466309,0.04664200544,
790.9316406,0.04599111527,
789.9556274,0.04617806524,
788.979187,0.04668855295,
788.0024414,0.04627924412,
787.0252686,0.04619557038,
786.0477905,0.04684668034,
784.9301758,0.045840431,
783.9518433,0.04652042687,
782.9731445,0.04642264917,
781.9940796,0.04682546109,
781.0147095,0.04688759893,
780.0349121,0.04784795642,
779.0547485,0.04800667986,
777.934082,0.04747468606,
776.953125,0.04885858297,
775.9718628,0.04825047404,
774.9901733,0.04933549091,
774.0081177,0.04954547435,
773.0256958,0.05074125156,
772.0429077,0.05030009151,
771.0598145,0.05056945607,
769.93573,0.05125102028,
768.9518433,0.05170522258,
767.9675293,0.05243743211,
766.9829102,0.05338404328,
765.9979248,0.05363072827,
765.0125122,0.05404169112,
764.0267944,0.05504452065,
763.0407104,0.05600478873,
762.0542603,0.05653360114,
761.0674438,0.05677789077,
759.939209,0.05786336586,
758.9516602,0.0590916425,
757.9637451,0.06029571593,
756.9754028,0.06062340736,
755.9867554,0.06172260642,
754.9977417,0.06316719204,
754.0084229,0.06465853751,
753.0186768,0.06539788842,
752.0286255,0.06736625731,
751.038147,0.06847128272,
750.0473633,0.07010669261,
749.0562134,0.07171021402,
748.0647583,0.07301098853,
746.9311523,0.07589268684,
745.9389038,0.07734638453,
744.9463501,0.07992122322,
743.9533691,0.08189166337,
742.960083,0.08342242241,
741.9664307,0.08589790016,
740.9724121,0.08818199486,
739.9780273,0.09115260094,
738.9833374,0.09361107647,
737.9882813,0.09635103494,
736.9929199,0.09899640083,
735.9971313,0.1016780064,
735.0010376,0.104993239,
734.0046387,0.1068149582,
733.0078125,0.109839879,
732.0106812,0.1127043366,
731.0131836,0.1164903641,
730.0153809,0.1194586381,
729.0172119,0.1228320077,
728.0186768,0.126142472,
727.0198364,0.129676044,
726.0206299,0.1329932362,
725.0210571,0.1358387023,
724.0211792,0.1386041939,
723.0209961,0.1418173611,
722.0203857,0.1447931379,
721.0194702,0.1471812874,
720.0182495,0.1495303661,
719.0166626,0.1517773718,
718.0147095,0.1532771587,
717.0124512,0.1550600082,
716.0098267,0.1562664509,
715.006897,0.1579595506,
714.0036011,0.1590855122,
713,0.159979552,
711.9960327,0.1608175188,
710.9917603,0.1613121778,
709.9871216,0.1620978266,
708.9821777,0.162388742,
707.9768677,0.1624899209,
706.9712524,0.162046507,
705.965271,0.1618190557,
704.9589844,0.1612735242,
703.9523315,0.1603453308,
702.9453735,0.1597260684,
701.9380493,0.1586777568,
700.9304199,0.1578183323,
700.0665283,0.1568953097,
699.0582886,0.1550400704,
698.0496826,0.1537024379,
697.0407715,0.1523663849,
696.0315552,0.150680691,
695.0220337,0.1494031698,
694.012146,0.147150293,
693.0018921,0.1452709883,
691.991394,0.1433139592,
690.9805298,0.1415733844,
689.9692993,0.139372468,
688.9577637,0.1372903138,
687.9459229,0.1350158453,
686.9337769,0.133457467,
686.065979,0.1318815053,
685.0531616,0.1296023875,
684.0401001,0.1274391562,
683.0266724,0.1256742775,
682.0129395,0.1236267164,
680.9989014,0.121900402,
679.9844971,0.1204377264,
678.9697876,0.1184669062,
677.9547729,0.1170347333,
676.9394531,0.1151439101,
676.0688477,0.1131960079,
675.0529175,0.1119273752,
674.0366821,0.110075593,
673.0201416,0.1092491448,
672.0032349,0.1070954055,
670.9860229,0.1060953811,
669.9685059,0.1048363522,
668.9506226,0.1036021858,
667.9324951,0.1017296612,
667.0595093,0.1007488221,
666.0407715,0.1002825797,
665.0217285,0.09890294075,
664.0023804,0.09839428216,
662.982666,0.09673728794,
661.9627075,0.09612201154,
660.9423828,0.09474980086,
660.0675659,0.09409849346,
659.0466919,0.09350655973,
658.0255127,0.09312817454,
657.0039673,0.09205041081,
655.9821777,0.09144301713,
654.960022,0.09086419642,
653.9376221,0.0904013291,
653.0609741,0.08976347744,
652.0379639,0.0890552178,
651.0146484,0.08851505071,
649.9910278,0.08815852553,
648.9671021,0.08681038767,
647.9428711,0.0860055238,
647.0646973,0.08570774645,
646.039917,0.08467876911,
645.0147705,0.08428966999,
643.9893799,0.08359827101,
642.9636841,0.08291047812,
641.9376221,0.08178561926,
641.0579224,0.08134562522,
640.0313721,0.08058867604,
639.0044556,0.07988615334,
637.9772949,0.07917115837,
636.9498291,0.07776841521,
636.0688477,0.07682082802,
635.0408325,0.07583423704,
634.0124512,0.07538064569,
632.9838257,0.07492192835,
631.954895,0.07384742796,
631.0726929,0.07334756106,
630.0432129,0.07318757474,
629.0133667,0.07228067517,
627.9832764,0.07173378766,
626.9528809,0.07066433132,
626.069458,0.07058352977,
625.0385742,0.07008439302,
624.0073242,0.06941693276,
622.975769,0.0686981827,
621.9439697,0.06831265241,
621.0593262,0.06755148619,
620.0269165,0.06683956087,
618.9942627,0.0669445172,
617.9613647,0.0661078468,
616.9281006,0.0657120198,
616.0422363,0.06549873948,
615.0084229,0.06504805386,
613.9743652,0.06432403624,
612.9400024,0.06372542679,
612.0531616,0.06358315051,
611.0183105,0.06309010834,
609.9830933,0.0626706779,
608.9476318,0.06207144633,
608.0598145,0.06212517247,
607.0238037,0.06155559793,
605.9875488,0.06121545658,
604.9509277,0.06097786129,
604.0622559,0.06074033678,
603.0251465,0.06049972773,
601.9877319,0.06000518054,
600.9500122,0.0600114204,
600.0603638,0.05959492177,
599.0221558,0.05962612852,
597.9837036,0.05937931314,
596.9448853,0.05883973464,
596.0543213,0.05892241374,
595.0150146,0.05874370411,
593.9754639,0.05863501504,
592.9356079,0.05838372558,
592.0440674,0.05817431211,
591.0036621,0.05852051824,
589.9630127,0.05834973603,
589.0708008,0.05818913877,
588.0296631,0.05847037584,
586.9882202,0.05846001208,
585.9464722,0.05829872191,
585.0533447,0.05836169794,
584.0111084,0.0582585223,
582.9686279,0.05853586271,
581.9258423,0.05827376619,
581.0317993,0.0583158657,
579.9884644,0.05859567225,
578.9448853,0.05815010145,
578.0502319,0.05848497897,
577.0061035,0.0583813265,
575.961792,0.05826580152,
575.0664063,0.05854694173,
574.0215454,0.05861116573,
572.9764404,0.05861072242,
571.9310303,0.05826153979,
571.034729,0.05843975395,
569.9888916,0.05842169002,
568.942688,0.05861169845,
568.0457764,0.05857238919,
566.9990845,0.05827971548,
565.9521484,0.05839678645,
565.0545654,0.05864254013,
564.0071411,0.05857970566,
562.9594727,0.05842702091,
562.0612183,0.05840910226,
561.0130615,0.0587185435,
559.9645996,0.05824046582,
559.0657349,0.05866989121,
558.0167847,0.0582950823,
556.9675903,0.0582921505,
556.0680542,0.05840602517,
555.0183716,0.05862553418,
553.9683838,0.05868491158,
553.0682373,0.05867584422,
552.0177612,0.05855404958,
550.9671021,0.05850476399,
550.0662842,0.05866879225,
549.0150757,0.05888879299,
547.963623,0.05906412005,
547.0621948,0.05883982033,
546.0103149,0.05919593573,
544.9581299,0.05937340483,
544.0560303,0.05939412117,
543.0033569,0.0599011369,
541.9504395,0.06003112718,
541.0477905,0.06037542969,
539.9943848,0.0604364723,
538.9407349,0.06068889424,
538.0374146,0.06110012904,
536.9832764,0.06135943532,
535.9289551,0.06185000762,
535.0249634,0.0622485429,
533.9701538,0.0628574416,
533.0657959,0.06326866895,
532.010498,0.06395073235,
530.9549561,0.0643215999,
530.0499878,0.06501170248,
528.9939575,0.06524708867,
527.9376831,0.06598156691,
527.0321045,0.06656537205,
525.9754028,0.06720878929,
525.069458,0.06758227199,
524.012207,0.06846955419,
522.9547729,0.06926142424,
522.0482178,0.06988406926,
520.9903564,0.07094191015,
519.9321899,0.07143333554,
519.0250244,0.0719108656,
517.9664307,0.07268419117,
517.0588379,0.07316114008,
515.9998169,0.07366213202,
514.9404907,0.07432451844,
514.0323486,0.07475465536,
512.9725952,0.07533827424,
512.0640259,0.0756495744,
511.0038452,0.07653743029,
509.9434204,0.07667320222,
509.0342712,0.07719197124,
507.9733887,0.07759059966,
507.0638733,0.07806599885,
506.002533,0.07834056765,
504.940979,0.07862604409,
504.0308838,0.07908478379,
502.9688721,0.07926756144,
502.0583801,0.07925391942,
500.9959412,0.07978209108,
499.9332581,0.07999898493,
499.0221863,0.07998165488,
497.9590759,0.08024002612,
497.0476379,0.08003938198,
495.9840698,0.08024722338,
495.0722656,0.08026631176,
494.0082703,0.08021041751,
492.9440613,0.08056870103,
492.0316772,0.08025553823,
490.9670105,0.08034582436,
490.0542603,0.0802224651,
488.9891663,0.08033557236,
488.0760498,0.08006372303,
487.0105286,0.08015786111,
485.9447937,0.08031732589,
485.0311279,0.08029527217,
483.9649353,0.07994347066,
483.0509033,0.08021337539,
481.984314,0.08026195318,
481.0699158,0.08027624339,
480.0028992,0.08006425202,
478.9356384,0.08001682162,
478.0206909,0.08015947789,
476.9530334,0.08015384525,
476.0377197,0.08055981994,
474.969635,0.08030068874,
474.0539551,0.08041017503,
472.9854431,0.08059921116,
472.0694275,0.08072336018,
471.0005188,0.08104999363,
469.9313965,0.08131050318,
469.014801,0.08129021525,
467.945282,0.0815988183,
467.0283508,0.08208910376,
465.958374,0.08232567459,
465.0411072,0.08247476071,
463.9707642,0.08263877034,
463.0531311,0.08260658383,
461.9823608,0.08298809826,
461.0643921,0.08284390718,
459.9932251,0.08276785165,
459.0748901,0.08254337311,
458.0033264,0.08257371187,
456.9315186,0.08222384006,
456.0126648,0.08202571422,
454.9404907,0.08151632547,
454.0213013,0.08112274855,
452.9487,0.08093046397,
