00,,
Wavelength (nm),Abs,
500.0595703,0.001084733056,
498.9966736,0.001069007209,
497.9335632,0.0009761688998,
497.0221252,0.0008455853676,
495.9585571,0.0007627004525,
495.0467529,0.001061378047,
493.9827576,0.0008615883999,
493.0705872,0.001082397532,
492.0061646,0.0009789968608,
490.9414978,0.0009789709002,
490.0287476,0.0009884407045,
488.9636536,0.001062727417,
488.0505371,0.001096125576,
486.9850159,0.000928771391,
486.0715637,0.001021833159,
485.0056152,0.001073314925,
483.9394226,0.0009734188206,
483.0253906,0.000821231748,
481.9588013,0.0008736494347,
481.0444031,0.0008227359504,
479.9773865,0.0008843620308,
479.0626221,0.0008691881085,
477.9951782,0.001088210498,
476.9275208,0.0009950307431,
476.012207,0.001001024153,
474.9441223,0.0007719840505,
474.0284424,0.001051283907,
472.9599304,0.0008811975131,
472.0439148,0.000818275148,
470.9750061,0.0008677615551,
470.0586243,0.0009965614881,
468.9892883,0.0009518598672,
468.0725708,0.0009347898304,
467.0028381,0.000716933806,
465.9328613,0.0009944859194,
465.0155945,0.0007461305941,
463.9452515,0.0007039955817,
463.0276184,0.0007319468423,
461.9568481,0.001034080284,
461.0388794,0.0008800562355,
459.9677124,0.0008199868607,
459.0493774,0.0009427540353,
457.9778137,0.0008703553467,
457.0591431,0.0008597468841,
455.9871826,0.001009041443,
455.0681763,0.000772217405,
453.9957886,0.0008821832016,
453.0764465,0.0009377212846,
452.0036621,0.001424976275,
450.9306946,0.0008635596605,
450.0108032,0.0009077074938,
448.937439,0.001038179966,
448.0172119,0.0009437138797,
446.9434509,0.0008976169047,
446.0229187,0.0007409185637,
444.948761,0.0008152926457,
444.0278625,0.0009599540499,
442.9533081,0.0009179539629,
442.0321045,0.0009654281312,
440.9571533,0.0007293279632,
440.035614,0.0007877250318,
438.9602966,0.0009441030561,
438.0384216,0.0009718362708,
436.9627075,0.0008408389986,
436.0404968,0.001085849013,
434.9644165,0.0009241279331,
434.0418701,0.0009968988597,
432.9654236,0.0009564257925,
432.0425415,0.001058575581,
430.9656982,0.0009267998394,
430.042511,0.0007814493147,
428.9653015,0.001047132188,
428.0417786,0.0008204796468,
426.9641724,0.001016462105,
426.0403748,0.0009906460764,
424.9623718,0.0009688007995,
424.0382385,0.00106501102,
422.9598999,0.0008588909404,
422.0354309,0.0007123444811,
420.9567261,0.0007507202681,
420.0319214,0.0006300553214,
418.9528503,0.0006969691603,
418.0277405,0.0007344360929,
416.9483032,0.001075183274,
416.0228882,0.0008656606078,
414.9430847,0.0007462602225,
414.0173645,0.000844729424,
412.9371643,0.0008857627399,
412.0111389,0.00104453729,
410.930603,0.0009979885072,
410.0042725,0.001155817881,
408.9233398,0.00113533996,
407.9967041,0.001017266535,
407.0699158,0.001265647123,
405.9884949,0.000944336527,
405.0614014,0.001082760864,
403.9796143,0.001008678228,
403.0522156,0.0006217858172,
401.9700928,0.001139336848,
401.0423889,0.001276161755,
399.9598999,0.001301942859,
399.0318909,0.001008989639,
397.9490662,0.001427859068,
397.0207825,0.001189794275,
395.9375916,0.001502376865,
395.0090027,0.001612267806,
393.9254456,0.001632638392,
392.9965515,0.00185225415,
392.0675354,0.001803617226,
390.98349,0.001794545562,
390.0541687,0.001987587661,
388.9697876,0.002325702459,
388.0401917,0.002771113766,
386.9554749,0.00350970705,
386.0255737,0.005294159986,
