# wavenlength / nm,    wavenumber / cm-1,  norm. absorbance
7.999367065000000139e+02,1.250098903918718918e+01,1.234837249378104452e-03
7.989643555000000106e+02,1.251620292089488551e+01,2.222229189050393006e-04
7.979916382000000112e+02,1.253145963102649496e+01,8.465665284648383896e-04
7.970184937000000218e+02,1.254676030612161419e+01,1.391722856253487786e-03
7.960450438999999960e+02,1.256210320839107020e+01,1.391336641325927222e-05
7.949320067999999537e+02,1.257969224343477599e+01,3.184331237814707694e-04
7.939577636999999868e+02,1.259512842773654029e+01,3.358622177096857596e-04
7.929830932999999504e+02,1.261060933642984772e+01,3.924582283806431616e-04
7.920080566000000317e+02,1.262613418723144854e+01,-1.514348916963819860e-05
7.910326538000000482e+02,1.264170316100293334e+01,-5.115185240996356970e-05
7.900568848000000344e+02,1.265731644441205361e+01,-1.852632113797295207e-04
7.889412842000000410e+02,1.267521449348435425e+01,3.794978875418891740e-04
7.879647217000000410e+02,1.269092349518571083e+01,7.558028106520770124e-04
7.869877318999999716e+02,1.270667838221227619e+01,1.358756261845225921e-04
7.860104370000000245e+02,1.272247737341431773e+01,5.184850433500133105e-04
7.850327148000000079e+02,1.273832263480594484e+01,-4.209432293924528527e-04
7.840546875000000000e+02,1.275421237756454396e+01,8.089356481070867624e-04
7.829364623999999822e+02,1.277242851782144761e+01,8.853238142952586437e-04
7.819575806000000284e+02,1.278841748976581272e+01,5.982537841003092915e-04
7.809783936000000040e+02,1.280445154686543141e+01,1.779281391315559345e-04
7.799987793000000238e+02,1.282053288464678431e+01,-3.220376562755005031e-05
7.790187988000000132e+02,1.283666070113326185e+01,2.397597087058184293e-04
7.780385132000000112e+02,1.285283418538104350e+01,5.746360417986144881e-04
7.770578003000000535e+02,1.286905555306089610e+01,4.905147819596648254e-04
7.759365844999999808e+02,1.288765112994875217e+01,-1.843192417661949087e-04
7.749550781000000370e+02,1.290397376905710480e+01,8.155421748791796517e-04
7.739732665999999881e+02,1.292034290012259135e+01,2.862827677103520830e-06
7.729910277999999835e+02,1.293676076481880166e+01,-7.015569566451604572e-05
7.720084838999999874e+02,1.295322552607507660e+01,6.518686323704380239e-04
7.710255127000000357e+02,1.296973943829913445e+01,7.190474987050392893e-04
7.700422363000000132e+02,1.298630065806430522e+01,-2.991720398965622921e-04
7.690585327000000007e+02,1.300291144926529796e+01,2.707387849313263933e-04
7.679338989000000311e+02,1.302195412173384881e+01,2.709680825965218648e-04
7.669494628999999577e+02,1.303866875685375781e+01,-4.567483621781425504e-04
7.659646606000000020e+02,1.305543259941880407e+01,1.047993329761931106e-04
7.649794921999999815e+02,1.307224586013549050e+01,-3.221302838824314585e-04
7.639939574999999650e+02,1.308910875777443650e+01,3.313901659368524038e-04
7.630081176999999570e+02,1.310602045774276725e+01,2.648062770714639967e-04
7.620218505999999934e+02,1.312298327420166544e+01,1.616276171836853056e-04
7.610352172999999993e+02,1.313999637950789001e+01,3.240515349777140430e-04
7.600482788000000482e+02,1.315705893813544414e+01,7.181573768055409543e-04
7.590609130999999934e+02,1.317417328098223805e+01,6.794843393039992326e-04
7.579321288999999524e+02,1.319379350564432940e+01,6.057729424382858044e-04
7.569440307999999504e+02,1.321101639368393954e+01,2.204750162045765319e-04
7.559555663999999524e+02,1.322829071505068299e+01,-3.904775993178163712e-04
7.549667968999999630e+02,1.324561562317893859e+01,-2.549361202578956961e-04
7.539776001000000178e+02,1.326299348770268516e+01,3.571629841460891193e-04
7.529880981000000020e+02,1.328042239343862541e+01,-2.111211513994226620e-04
7.519982300000000350e+02,1.329790364001255654e+01,1.634037217656723559e-04
7.510079955999999584e+02,1.331543746349962376e+01,1.325816288650756786e-04
7.500173949999999650e+02,1.333302409606113237e+01,1.556405179753205339e-04
7.490264892999999802e+02,1.335066268396657740e+01,2.562088047529242495e-04
7.480351563000000397e+02,1.336835563914257108e+01,-3.482023216210485710e-04
7.470435181000000284e+02,1.338610102050492578e+01,1.603958125821713617e-04
7.460515136999999868e+02,1.340390015483725783e+01,1.257073505139268512e-04
7.450592040999999881e+02,1.342175218421679261e+01,7.661930766013344616e-05
7.440664672999999993e+02,1.343965954585627465e+01,1.668986865218376290e-04
7.429315186000000040e+02,1.346019081118575578e+01,2.060340388040143769e-04
7.419380492999999888e+02,1.347821426524054189e+01,5.534308104998974945e-04
7.409442748999999822e+02,1.349629160890625634e+01,-3.027745710671098447e-04
7.399501342999999451e+02,1.351442419759825775e+01,-1.288464991794271834e-04
