# wavenlength / nm,    wavenumber / 10^3 cm-1,  extinction coefficient / M-1 s-1
4.160000000000000000e+02,2.403846153846154010e+01,4.701735541425818496e+02
4.150000000000000000e+02,2.409638554216867590e+01,4.430035117533718108e+02
4.140000000000000000e+02,2.415458937198067346e+01,4.337864115606936366e+02
4.130000000000000000e+02,2.421307506053268810e+01,4.415653344894026304e+02
4.120000000000000000e+02,2.427184466019417286e+01,4.634839664739884029e+02
4.110000000000000000e+02,2.433090024330900292e+01,4.965158211946049960e+02
4.100000000000000000e+02,2.439024390243902474e+01,5.367441329479768228e+02
4.090000000000000000e+02,2.444987775061124680e+01,5.804612113680153698e+02
4.080000000000000000e+02,2.450980392156862564e+01,6.249838710982659222e+02
4.070000000000000000e+02,2.457002457002456808e+01,6.640915811175336785e+02
4.060000000000000000e+02,2.463054187192118150e+01,6.919207485549133025e+02
4.050000000000000000e+02,2.469135802469135754e+01,7.069634564547205855e+02
4.040000000000000000e+02,2.475247524752475314e+01,7.071532381502889848e+02
4.030000000000000000e+02,2.481389578163771858e+01,6.900696739884392628e+02
4.020000000000000000e+02,2.487562189054726147e+01,6.598784285163776531e+02
4.010000000000000000e+02,2.493765586034912829e+01,6.206552992292870385e+02
4.000000000000000000e+02,2.500000000000000000e+01,5.697703890173410173e+02
3.990000000000000000e+02,2.506265664160400775e+01,5.154369653179190891e+02
3.980000000000000000e+02,2.512562814070351891e+01,4.610139626204238539e+02
3.970000000000000000e+02,2.518891687657430722e+01,4.097886512524084424e+02
3.960000000000000000e+02,2.525252525252525615e+01,3.659500953757225261e+02
3.950000000000000000e+02,2.531645569620253156e+01,3.304045381502889427e+02
3.940000000000000000e+02,2.538071065989847597e+01,3.022958949903660368e+02
3.930000000000000000e+02,2.544529262086514265e+01,2.825550433526011602e+02
3.920000000000000000e+02,2.551020408163265074e+01,2.719525944123313934e+02
3.910000000000000000e+02,2.557544757033248217e+01,2.693634674373795406e+02
3.900000000000000000e+02,2.564102564102564230e+01,2.745435876685934318e+02
3.890000000000000000e+02,2.570694087403598616e+01,2.866344587668593249e+02
3.880000000000000000e+02,2.577319587628866060e+01,3.030795410404624022e+02
3.870000000000000000e+02,2.583979328165374767e+01,3.221114533718689472e+02
3.860000000000000000e+02,2.590673575129533646e+01,3.422273032755298345e+02
3.850000000000000000e+02,2.597402597402597380e+01,3.629070140655105661e+02
3.840000000000000000e+02,2.604166666666666430e+01,3.794787132947976716e+02
3.830000000000000000e+02,2.610966057441253341e+01,3.942940851637764581e+02
3.820000000000000000e+02,2.617801047120418900e+01,4.033911722543352312e+02
3.810000000000000000e+02,2.624671916010498762e+01,4.064510495183043872e+02
3.800000000000000000e+02,2.631578947368420884e+01,4.028385371868978382e+02
3.790000000000000000e+02,2.638522427440633322e+01,3.951224921001926873e+02
3.780000000000000000e+02,2.645502645502645223e+01,3.857367416184970921e+02
3.770000000000000000e+02,2.652519893899204106e+01,3.784842113680153943e+02
3.760000000000000000e+02,2.659574468085106247e+01,3.752551670520231255e+02
3.750000000000000000e+02,2.666666666666666430e+01,3.768984579961463623e+02
3.740000000000000000e+02,2.673796791443849941e+01,3.857697882466280817e+02
3.730000000000000000e+02,2.680965147453083119e+01,4.037573847784200325e+02
3.720000000000000000e+02,2.688172043010752787e+01,4.331061549132947448e+02
3.710000000000000000e+02,2.695417789757412663e+01,4.713163210019267808e+02
