# wavenlength / nm,    wavenumber / 10^3 cm-1,  extinction coefficient / M-1 s-1
7.550000000000000000e+02,1.324503311258278160e+01,2.025778410404624097e+01
7.540000000000000000e+02,1.326259946949602053e+01,2.032677017341040226e+01
7.530000000000000000e+02,1.328021248339973326e+01,2.068385252408477726e+01
7.520000000000000000e+02,1.329787234042553123e+01,2.079556816955683729e+01
7.510000000000000000e+02,1.331557922769640534e+01,2.041625608863198238e+01
7.500000000000000000e+02,1.333333333333333215e+01,2.099848342967244719e+01
7.490000000000000000e+02,1.335113484646194948e+01,2.069591843930635733e+01
7.480000000000000000e+02,1.336898395721924970e+01,2.035544019267822335e+01
7.470000000000000000e+02,1.338688085676037431e+01,2.081617389210019198e+01
7.460000000000000000e+02,1.340482573726541560e+01,2.054955903660886207e+01
7.450000000000000000e+02,1.342281879194630712e+01,2.061391718689787922e+01
7.440000000000000000e+02,1.344086021505376394e+01,2.110087867052022759e+01
7.430000000000000000e+02,1.345895020188425306e+01,2.051209078998072854e+01
7.420000000000000000e+02,1.347708894878706332e+01,2.054618545279383213e+01
7.410000000000000000e+02,1.349527665317138947e+01,2.105034500963391153e+01
7.400000000000000000e+02,1.351351351351351404e+01,2.093931125240847635e+01
7.390000000000000000e+02,1.353179972936400688e+01,2.068600048169556871e+01
7.380000000000000000e+02,1.355013550135501355e+01,2.124871670520230893e+01
7.370000000000000000e+02,1.356852103120759701e+01,2.117244157996146470e+01
7.360000000000000000e+02,1.358695652173913082e+01,2.153546356454720367e+01
7.350000000000000000e+02,1.360544217687074742e+01,2.108819366088631853e+01
7.340000000000000000e+02,1.362397820163487694e+01,2.133691959537572203e+01
7.330000000000000000e+02,1.364256480218281098e+01,2.144636884393063525e+01
7.320000000000000000e+02,1.366120218579234979e+01,2.168742167630057693e+01
7.310000000000000000e+02,1.367989056087551347e+01,2.164104755298651028e+01
7.300000000000000000e+02,1.369863013698630105e+01,2.134039905587668429e+01
7.290000000000000000e+02,1.371742112482853138e+01,2.160020394990365844e+01
7.280000000000000000e+02,1.373626373626373720e+01,2.174111718689787764e+01
7.270000000000000000e+02,1.375515818431911974e+01,2.218412526011560360e+01
7.260000000000000000e+02,1.377410468319559200e+01,2.165072146435452538e+01
7.250000000000000000e+02,1.379310344827586121e+01,2.179747924855491092e+01
7.240000000000000000e+02,1.381215469613259650e+01,2.166167483622350787e+01
7.230000000000000000e+02,1.383125864453665343e+01,2.192198936416184551e+01
7.220000000000000000e+02,1.385041551246537317e+01,2.223319285163776371e+01
7.210000000000000000e+02,1.386962552011095795e+01,2.199915275529865255e+01
7.200000000000000000e+02,1.388888888888888928e+01,2.178590859344893715e+01
7.190000000000000000e+02,1.390820584144645267e+01,2.196863445086705013e+01
7.180000000000000000e+02,1.392757660167130851e+01,2.179983356454720322e+01
7.170000000000000000e+02,1.394700139470013944e+01,2.166147026974951473e+01
7.160000000000000000e+02,1.396648044692737400e+01,2.243661057803468140e+01
7.150000000000000000e+02,1.398601398601398671e+01,2.241248053949903252e+01
7.140000000000000000e+02,1.400560224089635852e+01,2.245341566473988237e+01
7.130000000000000000e+02,1.402524544179523147e+01,2.233241190751444805e+01
7.120000000000000000e+02,1.404494382022471832e+01,2.276958262042389336e+01
7.110000000000000000e+02,1.406469760900140642e+01,2.251325716763005502e+01
7.100000000000000000e+02,1.408450704225352190e+01,2.251248915221579949e+01
7.090000000000000000e+02,1.410437235543018275e+01,2.263818181117533612e+01
7.080000000000000000e+02,1.412429378531073354e+01,2.292125183044316117e+01
7.070000000000000000e+02,1.414427157001414415e+01,2.249911685934489469e+01
7.060000000000000000e+02,1.416430594900849904e+01,2.302501263969171319e+01
7.050000000000000000e+02,1.418439716312056831e+01,2.328646843930635768e+01
7.040000000000000000e+02,1.420454545454545503e+01,2.305803063583814705e+01
7.030000000000000000e+02,1.422475106685633151e+01,2.360367080924855188e+01
7.020000000000000000e+02,1.424501424501424651e+01,2.312970838150288699e+01
7.010000000000000000e+02,1.426533523537803205e+01,2.318682949903660884e+01
7.000000000000000000e+02,1.428571428571428648e+01,2.305346732177263647e+01
6.990000000000000000e+02,1.430615164520743932e+01,2.327641770712909519e+01
6.980000000000000000e+02,1.432664756446991383e+01,2.323718730250481812e+01
6.970000000000000000e+02,1.434720229555236770e+01,2.413318782273602991e+01
6.960000000000000000e+02,1.436781609195402254e+01,2.370361483622350462e+01
6.950000000000000000e+02,1.438848920863309466e+01,2.443176013487475728e+01
6.940000000000000000e+02,1.440922190201728981e+01,2.490389044315991995e+01
6.930000000000000000e+02,1.443001443001442929e+01,2.534569803468207994e+01
