\hline 0	vacuum	0.00	j	1.00	j	0.00	j	1.0000		j		$0.00 \mathrm{E}+00$	j	0.0	j
\hline 1740	1-iodobutane	1.93	[1]	6.29	{$[1] \mathrm{a}$}	3.11	{$[\mathrm{~m}]$}	1.497	0.560	[1]	13.3			93.6	[3.
\hline 1750	iodobenzene	1.40	[1]	4.49	{$[1] \mathrm{a}$}	0.78	{$[c]$}	1.617	0.560	[1]	15.5	$2.40 \mathrm{E}-08$		92.0	{$[3]$}
\hline 1760	diodomethane	1.08	[1]	5.32	[1]			1.738	0.620	[1]	13.1			93.1	{$[3$}
\hline 1770	n-butylamine	1.37	[1]	4.88	{$[1] \mathrm{a}$}			1.398	0.434	[1]	9.5			58.9	[3.
\hline 1780	benzylamine	3.11	[a]	4.60	{$[\mathrm{c}] \mathrm{a}$}			1.538		[2]	13.6			75.3	[3.
\hline 1790	"1,2-diaminoethane"	1.90	_1]	12.90	$\lceil 1\rceil$	17.90	$\lceil\mathrm{~m}\rceil$	1.454	0.547	$\lceil 1\rceil$	7.3	$9.00 \mathrm{E}-06$	$\lceil 1\rceil$	45.5	$\lceil 3$
\hline 1800	diethylamine	1.20	[1]	3.78				1.382	0.410	[1]	9.7			56.8	[3]
\hline 1810	di-n-butylamine	0.98	[1]	2.98	{$[1] \mathrm{a}$}			1.415	0.500	[1]	16.9			103.	{$[3]$}
\hline 1820	pyrrole	1.80	[1]	8.13	[1]			1.507	0.472	[1]	8.2			48.6	[3.
\hline 1830	pyrrolidine	1.57	[1]					1.440	0.530	[1]	8.7			54.8	{$[3]$}
\hline 1840	piperidine	1.20	[1]	5.80	{$[1] \mathrm{a}$}	11.84	{$[\mathrm{n}]$}	1.452	0.480	[2]	10.6			64.2	{$[3]$}
\hline 1850	morpholine	1.56	[1]	7.42	[1]			1.452	0.440	[2]	9.3			55.0	{$[3$}
\hline 1860	triethylamine	0.66	[2]	2.42	{$[1] \mathrm{a}$}	1.71	[o]	1.398	0.600	[1]	13.5			82.3	{$[3]$}
\hline 1870	tri-n-butylamine	0.78	[1]	2.29	[4]	1.16	[o]	1.428	0.100	[1]	24.3			156.	[3.
\hline 1880	aniline	1.51	[1]	6.98		3.41	{$[\mathrm{~m}]$}	1.583	0.528	[1]	12.1	$2.40 \mathrm{E}-06$	[1]	62.4	{$[3]$}
\hline 1890	o-chloroaniline	1.77	[1]	13.40	[1]			1.585	0.442	[1]	14.0			78.9	{$[3]$}
\hline 1900	N-methylaniline	1.73	{$[c]$}	6.06	[1]			1.568	0.527	{$[1]$}	14.2			73.3	{$[3$.}
\hline 1910	"N,N-dimethylaniline"	1.68	[2]	4.91	{$[1] \mathrm{a}$}	9.40	{$[\mathrm{~m}]$}	1.556	0.504	[1]	16.2			85.1	{$[3$}
\hline 1920	ethanolamine	2.27	[1]	37.72	[1]			1.452	0.340	[1]	6.5	$1.10 \mathrm{E}-03$	[1]	42.1	{$[3$. }
\hline 1930	diethanolamine	2.81	[1]	25.19	[e]	4.31	[e]	1.473	0.250	[1]	10.7				
\hline 1940	triethanolamine	3.57	[1]	29.36	[1]			1.483	0.200	[1]	15.1				
\hline 1950	pyridine	2.37	[1]	12.91	[1]	4.88	{$[\mathrm{n}]$}	1.507	0.550	[1]	9.6	$4.00 \mathrm{E}-06$	[1]	48.5	{$[3]$}
\hline 1960	2-methylpyridine	1.97	{$[1]$}	9.80	{$[1] \mathrm{a}$}	4.84	[i]	1.498	0.520	{$[1]$}	11.5			60.3	{$[3$}
\hline 1970	3-methylpyridine	2.40	[1]	11.35	[i]	3.97	[i]	1.506		[1]	11.5			62.2	
\hline 1980	4-methylpyridine	2.60	[1]	11.86	[i]	3.67	[i]	1.503	0.488	[1]	11.5			61.8	
\hline 1990	"2,4-dimethylpyridine"	2.30		9.60	$\lceil 1\rceil \mathrm{a}$			1.498		$\lceil 1\rceil$	13.4			71.5	
\hline 2000	"2,6-dimethylpyridine"	1.66	{$[1]$}	7.33	{$[1] \mathrm{a}$}			1.495	0.440	[1]	13.5			71.7	{$[3]$}
\hline 2010	"2,4,6-trimethylpyridine"	2.05	$\lceil 1\rceil$	12.02	[4]			1.495	0.440		15.4			83.2	$\lceil 3$
\hline 2020	2-bromopyridine	3.11	[4]	24.02	{$[4]$}			1.571		[4]	12.4				
\hline 2030	3-bromopyridine	1.99	{$[4]$}	9.85	[4]			1.571		[4]	12.5				
\hline 2040	2-cyanopyridine	5.24	{$[4] \mathrm{b}$}	93.80	[j]b	4.34	{$[\mathrm{y}]$}	1.529		[4]	12.5	$5.00 \mathrm{E}-07$	[]] b		
\hline 2050	pyrimidine	2.00	{$[4]$}					1.499		[2]	9.2			43.1	{$[3$}
\hline 2060	quinoline	2.18	[1]	8.95	[1]	8.44	{$[\mathrm{n}]$}	1.624	0.453	[1]	16.6	$2.20 \mathrm{E}-06$	[1]	85.9	{$[3$}
\hline 2070	acetonitrile	3.92	[2]	35.94	[1]	4.16	{$[\mathrm{p}]$}	1.341	0.496	[1]	4.4	$6.00 \mathrm{E}-08$	[1]	27.6	[3
\hline 2080	propionitrile	4.02	[2]	28.26	[1]	4.21	{$[\mathrm{n}]$}	1.363	0.450	[1]	6.3	$8.51 \mathrm{E}-08$	[1]	38.8	{$[3$}
\hline 2090	butyronitrile	4.07	[2]	24.83	{$[1] \mathrm{b}$}			1.382	0.430	[1]	8.1			50.4	{$[3$}
\hline 2100	valeronitrile	3.57	[1]	19.71	[1]			1.395	0.400	[1]	9.9	$1.20 \mathrm{E}-08$	[1]		
\hline 2110	acrylonitrile	3.67	{$[1]$}	33.00	{$[1] \mathrm{b}$}			1.388	0.539	[1]	6.2				
\hline 2120	benzyl cyanide	3.47	$\lceil 1\rceil$	18.70	$\lceil 1\rceil$			1.520	0.482	$\lceil 1\rceil$	14.0	$5.00 \mathrm{E}-06$	$\lceil 1\rceil$	76.6	$\lceil 3$
\hline 2130	benzonitrile	4.18	[2]	25.20	[1]	3.62	{$[\mathrm{~m}]$}	1.525	0.506	[1]	12.5	$5.00 \mathrm{E}-06$	[1]	65.2	{$[3$}
\hline 2140	nitromethane	3.56	[1]	35.87	{$[1] \mathrm{b}$}	4.35	{$[\mathrm{~m}]$}	1.379	0.450	[1]	5.0	$5.00 \mathrm{E}-07$	[1]	20.9	{$[3$}
\hline 2150	nitroethane	3.60	[1]	28.06	{$[1] \mathrm{b}$}	9.35	{$[\mathrm{~m}]$}	1.389	0.439	[1]	6.8	$5.00 \mathrm{E}-05$	{$[1] \mathrm{b}$}	33.6	{$[3$}
\hline 2160	1-nitropropane	3.59	[1]	23.24	[1]			1.399	0.405	[1]	8.6	$3.30 \mathrm{E}-03$	[1]	44.8	{$[3$}
\hline 2170	2-nitropropane	3.73	[1]	25.52	[1]			1.392	0.411	[1]	8.6	$5.00 \mathrm{E}-03$	[1]	45.2	{$[3$}
\hline 2180	nitrobenzene	4.22	[2]	34.78	[1]	5.18	[m]	1.550	0.460	[1]	13.0	$2.05 \mathrm{E}-08$	[1]	61.8	{$[3$}
\hline 2190	formamide	3.37	[1]	109.50	[1]	15.10	{$[\mathrm{~m}]$}	1.446	0.144	[1]	4.2	$2.00 \mathrm{E}-05$	[1]	23.1	{$[3$}
\hline 2200	N-methylformamide	3.86	{$[1]$}	182.40	[1]	8.88	[c]	1.430	0.380	[1]	6.1	$8.00 \mathrm{E}-05$	[1]	34.3	{$[1$}
\hline 2210	"N,N-dimethylformamide"	3.82	{$[2]$}	36.71	[1]	5.12	[c]	1.428	0.460	[1]	7.8	$6.00 \mathrm{E}-06$	[1]	38.8	{[}
\hline 2220	"N,N-dimethylthioformamide"	4.74	{$[\mathrm{a}] \mathrm{a}$}	47.50	[e]	2.90	{$[\mathrm{e}]$}	1.576		[4]	11.2				
\hline 2230	"N,N-diethylformamide"	3.97	[a]	29.02	[4]			1.434		{$[4]$}	11.5				
\hline 2240	"N,N-methylacetamide"	3.85	[a]	191.30	{$[1] \mathrm{b}$}	7.97	[c]	1.425	0.470	{$[1] \mathrm{c}$}	7.8	$2.00 \mathrm{E}-05$	{$[1] \mathrm{d}$}	45.2	{$[3$}
\hline 2250	"N,N-dimethylacetamide"	3.72	[1]	37.78	[1]	6.09	[c]	1.435	0.560	[1]	9.6			56.1	{$[3$}
\hline 2260	"N,N-diethyl acetamide"	3.75	[4]	31.33	[4]			1.439		[4]	13.3			77.5	{$[3$.}
\hline 2270	pyrrolidinone-2	3.55	[1]	27.79	{$[\mathrm{k}]$}	2.50	{$[\mathrm{k}]$}	1.486	0.400	[1]	8.8				
\hline 2280	N-methylpyrrolidinone	4.09	[1]	32.20	[1]			1.467	0.500	[1]	10.6	$1.00 \mathrm{E}-06$	[1]	61.7	{$[\mathrm{r}]$}
\hline 2290	N-methylthiopyrrolidinone	4.86	{$[\mathrm{e}]$}	47.50				1.583		[e]	11.4				
\hline 2300	tetramethylurea	3.47	[1]	23.60	[1]			1.449		[1]	12.8	$6.00 \mathrm{E}-06$	[1]	75.7	{$[3]$}
\hline 2310	tetraethylurea	3.83	[4]	14.74	[4]			1.446		[4]	20.1			122.4	{$[3$}
\hline 2320	dimethylcyanamide	4.35	_w]	37.23	[4]			1.409		_4]	7.9				
\hline 2330	carbon disulfide	0.06	[1]	2.64	{$[1] \mathrm{b}$}	2.34	[m]	1.624	0.674	[1]	8.5			42.2	{$[3]$}
\hline 2340	dimethyl sulfide	1.45	[1]	6.20	{$[1] \mathrm{a}$}			1.432	0.628	[1]	7.6			44.9	{$\left[3^{\circ}\right.$}
\hline 2350	diethyl sulfide	1.61	[1]	5.72	[1]			1.440	0.558	[1]	11.3			67.9	{$[3$}
\hline 2360	di-i-propyl sulfide	1.67		5.81	$\lceil 4\rceil$			1.438		[4]	15.1			91.8	$\lceil 3$
\hline 2370	di-n-butyl sulfide	1.61	[1]	4.41	{$[c]$}			1.450	0.462	[1]	18.6			113.	{$[3]$}
\hline 2380	tetrahydrothiophene	1.90	[1]	8.61	[4]			1.502	0.521	[1]	10.4			63.5	{$[3]$}
\hline 2390	pentamethylene sulfide	1.71	[4]	6.58	[c]			1.510		[4]	12.3				
\hline 2400	dimethyl sulfoxide	4.06	[4]	46.45	[1]			1.477	0.358	[1]	8.0	$2.00 \mathrm{E}-07$	[1]	43.9	{$[\mathrm{r}]$}
\hline 2410	di-n-butyl sulfoxide	3.99	[a]												
\hline 2420	sulfolane	4.81	[1]	43.26	[1]			1.481	0.340	{$[1] \mathrm{b}$}	10.8	$2.00 \mathrm{E}-06$	{$[1] \mathrm{b}$}		
\hline 2430	thiobis(2-ethanol)			27.84	[e]	5.92	[e]	1.519	0.322	[1]	12.5				
\hline 2440	diethyl sulfite	3.09	[a]	15.60	{$[\mathrm{c}] \mathrm{a}$}			1.415		{$[3] \mathrm{a}$}	12.7			75.5	{$[3$}
\hline 2450	dimethyl sulfate	4.09	[a]	50.28	{$[4]$}			1.386		[4]	8.8			62.2	{$[3]$}
\hline 2460	diethyl sulfate	2.99	[4]	16.20	[4]	5.53	{$[\mathrm{~m}]$}	1.414		[4]	13.0			86.9	{$[3]$}
\hline 2470	methanesulfonic acid							1.432		[2]	6.7	$5.00 \mathrm{E}-06$	[u]		
\hline 2480	trimethyl phosphate	3.18	[1]	16.39	[1]			1.395	0.260	[1]	10.9				
\hline 2490	triethyl phosphate	3.12	[1]	10.79	[1]			1.403	0.374	[1]	16.6	$1.19 \mathrm{E}-06$	[1]	111.	{$[\mathrm{r}]$}
\hline 2500	tri-n-butyl phosphate	3.07	[1]	8.91	[1]	7.08	[m]	1.422	0.480	[1]	26.7			181.	{$[\mathrm{r}]$}
\hline 2510	hexamethyl phosphate	5.54	[1]	29.30	{$[1] \mathrm{a}$}	20.60	{$[\mathrm{k}]$}	1.457	0.360	[1]	18.9	$1.90 \mathrm{E}-05$	[1]	118.	{$[\mathrm{r}]$}
\hline 2520	hexamethylthiophosphoramide	4.47	[a]	39.50	{$[\mathrm{e}] \mathrm{b}$}			1.507		{$[\mathrm{e}] \mathrm{b}$}		$3.10 \mathrm{E}-05$	{$[\mathrm{e}] \mathrm{b}$}		
\hline 2530	hydrogen peroxide	2.26	[2]	70.70	[3]	6.51	[3]	1.407		[2]	2.3			17.0	{$[3]$}
\hline 2540	hydrogen fluoride	1.82	_2]	84.00	$\lceil 1\rceil$	12.00	$\lceil 1\rceil 0$	1.340		$\lceil 2]$	0.8	$1.00 \mathrm{E}-04$	$\lceil 1\rceil 0$	8.6	$\lceil 3$
\hline 2550	sulfuric acid	2.72	[2]	100.00	[1]			1.4184		[2]	5.3	$1.04 \mathrm{E}+00$	[1]	38.8	{$[3]$}
\hline 2560	ammonia	1.47	[2]	22.38	{$[1] \mathrm{T}$}	3.30	[1]	1.325		[2]	2.0	$1.00 \mathrm{E}-09$	[1]	16.3	{$[3]$}
\hline 2570	hydrazine	1.75	[2]	52.90	{$[\mathrm{c}] \mathrm{a}$}	4.95	{$[\mathrm{n}]$}	1.469	[2]	3.5					
\hline 2580	sulfur dioxide	1.63	[2]	11.90	[1]	12.40	{$[1]$}	1.357	[2]	3.8	$3.00 \mathrm{E}-06$	[1]		18.2	{$[3$.}
\hline 2590	thionyl chloride	1.45	[2]	9.25	{$[3] \mathrm{a}$}			1.516	[2]	8.7				44.3	3
\hline 2600	phosphorus oxychloride	2.42	[2]	13.90	[1]			1.484	[2]	10.4	$200 \mathrm{E}-06$	[1]		67.8	
