Wavelength,S1c / R1c
nm,CPS / MicroAmps
572,2836.53334011609
573,2743.00018609876
574,2617.3736638648
575,2524.36607316323
576,2391.87909300959
577,2332.16143180029
578,2233.39652262061
579,2149.73690408818
580,2025.7003598921
581,2004.95603592929
582,1913.84456189293
583,1810.25222820883
584,1755.4022841601
585,1678.52473370428
586,1624.41400651754
587,1552.39271519322
588,1487.69201242627
589,1404.74806609971
590,1389.28253341436
591,1327.40267645454
592,1266.65039030906
593,1218.49845396205
594,1159.63105855235
595,1152.21002827307
596,1050.40907099615
597,1045.70611574437
598,982.564976134107
599,953.465438373451
600,925.965103172067
601,867.880734164416
602,844.986112604188
603,810.158747451234
604,771.979315905419
605,749.275742792351
606,716.58319970277
607,663.703452974357
608,639.754176451544
609,614.474949933032
610,596.140817829001
611,584.392446574243
612,568.232754173851
613,539.348464416371
614,500.784525538277
615,497.143635659594
616,464.194421717974
617,453.628699049742
618,429.131438984122
619,422.175588941968
620,396.743012135937
621,382.88526563324
622,365.691935020963
623,337.861522800254
624,353.44331833518
625,326.164032079915
626,302.98642134944
627,294.147081311603
628,284.115924445689
629,275.728135345916
630,261.550317732524
631,233.472142973209
632,230.945209495281
633,233.918444009805
634,201.075517094154
635,218.081488458512
636,188.97763402491
637,199.908919431706
638,199.913066652056
639,184.178547005202
640,166.801678810145
641,165.177463420551
642,168.045091885582
643,164.5101261505
644,147.39552171226
645,158.301525972819
646,147.414976157618
647,152.275746644434
648,143.74434164691
649,159.216620992368
650,190.119332150391
