3,,
Wavelength (nm),Abs,
799.9439087,-0.0007143308758,
798.9713135,-0.001102997106,
797.998291,-0.001120761153,
797.0249634,-0.000887808972,
796.0512085,-0.001567411004,
794.9379272,-0.001725388342,
793.9633789,-0.001229446614,
792.9884644,-0.001358181704,
792.0131836,-0.0008548963815,
791.0375366,-0.0005688079982,
790.0615234,-0.0009487708448,
788.9456177,-0.00154259766,
787.96875,-0.0008670903626,
786.9915771,-0.001282927347,
786.0139771,-0.002173529239,
785.0360718,-0.001896556001,
784.0577393,-0.0018010817,
782.939209,-0.001223354717,
781.960083,-0.001323240111,
780.9806519,-0.001668970799,
780.0007935,-0.0007835857687,
779.0205688,-0.001668764511,
778.039978,-0.00110206753,
777.059021,-0.001473463723,
775.9375,-0.001548891421,
774.9558105,-0.00213870476,
773.9736938,-0.0009177227039,
772.9912109,-0.001463918248,
772.0084229,-0.0013917787,
771.0252075,-0.001547137392,
770.041626,-0.001203942811,
769.0577393,-0.0009834843222,
767.9328003,-0.001323188539,
766.9481201,-0.001253503375,
765.9630737,-0.00136349746,
764.9776611,-0.001543681021,
763.9918823,-0.001594750327,
763.0057373,-0.001419387176,
762.0192261,-0.001618529088,
761.0323486,-0.001313330024,
760.045105,-0.001372477505,
759.0575562,-0.00199613208,
758.0696411,-0.001414949307,
756.9401245,-0.001452153781,
755.951416,-0.001415671781,
754.9623413,-0.001578295371,
753.9729004,-0.001363807125,
752.9831543,-0.001380063943,
751.993042,-0.001570970286,
751.0025635,-0.0008621301386,
750.0117188,-0.001443588291,
749.0205078,-0.0013162205,
748.0289917,-0.002053898526,
747.0370483,-0.001296761096,
746.0447998,-0.001312297769,
745.0522461,-0.001703884569,
744.0592651,-0.001706617652,
743.065979,-0.001546982676,
741.9303589,-0.001498693717,
740.9362793,-0.001354672131,
739.9418945,-0.001179728308,
738.9471436,-0.001722552232,
737.9520264,-0.001579120639,
736.956543,-0.00191433914,
735.9607544,-0.0009521286702,
734.9645996,-0.00148981961,
733.9681396,-0.001410975819,
732.9713135,-0.001535272109,
731.9741211,-0.001857946045,
730.9765625,-0.001581596676,
729.9786987,-0.001293715672,
728.9804688,-0.001352298073,
727.9819336,-0.001501325052,
726.9830322,-0.00174750993,
725.9837646,-0.001411130652,
724.9841309,-0.001563696773,
723.9842529,-0.001867637504,
722.9839478,-0.001379238209,
721.9833374,-0.001518195728,
720.9823608,-0.001338620903,
719.9810791,-0.001749624033,
718.9794312,-0.001620695461,
717.977478,-0.001134858234,
716.9751587,-0.001684494084,
715.9724731,-0.001607181504,
714.9694824,-0.00145478535,
713.9661865,-0.001780819031,
712.9624634,-0.001450347831,
711.9584961,-0.001390591729,
710.9541626,-0.00128721178,
709.9494629,-0.001595833572,
708.944458,-0.001542391255,
707.9390869,-0.00135673664,
706.9334106,-0.001593357651,
706.071167,-0.001447509858,
705.0648804,-0.001703626709,
704.0582275,-0.001397868153,
703.0512695,-0.00137980585,
702.0439453,-0.001524128602,
701.0363159,-0.001522426144,
700.0283813,-0.001510611735,
699.0200806,-0.001601765514,
698.0114746,-0.001301716315,
697.0025635,-0.001708061667,
695.9932861,-0.00179314171,
694.9836426,-0.001724099158,
693.9736938,-0.001724460162,
692.9634399,-0.001446787501,
691.9528809,-0.001606768812,
690.9419556,-0.001572724199,
689.9307251,-0.001497868216,
689.0636597,-0.001271880697,
688.0518188,-0.001850213273,
687.0396729,-0.001266873442,
686.0271606,-0.001503646723,
685.0143433,-0.001882895944,
684.0012207,-0.001482389867,
682.987793,-0.001312607434,
681.973999,-0.001563129365,
680.9598999,-0.001650919789,
679.9454346,-0.001475063269,
678.9307251,-0.001394100953,
678.0606689,-0.001495856093,
677.0453491,-0.001251180423,
676.0296631,-0.001680471469,
675.0136719,-0.00154471281,
673.9973755,-0.00153166079,
