# wavenlength / nm,  wavenumber / cm-1,  norm. intensity for wavelength, norm. intensity for wavenumber
4.180000000000000000e+02,2.392344497607655640e+01,1.085121521026609305e-07,1.895967726398532782e-02
4.190000000000000000e+02,2.386634844868735073e+01,1.125548275853747807e-07,1.976023808571598234e-02
4.200000000000000000e+02,2.380952380952381020e+01,1.166206109085450330e-07,2.057187576426734374e-02
4.210000000000000000e+02,2.375296912114014347e+01,1.252057886579327507e-07,2.219159918752065808e-02
4.220000000000000000e+02,2.369668246445497672e+01,1.305105929315542346e-07,2.324184843162290307e-02
4.230000000000000000e+02,2.364066193853427933e+01,1.402401337395883232e-07,2.509302688989080085e-02
4.240000000000000000e+02,2.358490566037735903e+01,1.544634145579376819e-07,2.776881481556780357e-02
4.249999999999999432e+02,2.352941176470588402e+01,1.712926293094744473e-07,3.093973116902381040e-02
4.260000000000000000e+02,2.347417840375586806e+01,1.855587713889030188e-07,3.367446359657256388e-02
4.270000000000000000e+02,2.341920374707260066e+01,2.028538427737129618e-07,3.698613829908831141e-02
4.280000000000000000e+02,2.336448598130841248e+01,2.199252922308562153e-07,4.028679473201716293e-02
4.290000000000000000e+02,2.331002331002331118e+01,2.396129309058612917e-07,4.409860341684561369e-02
4.300000000000000000e+02,2.325581395348837077e+01,2.598206874590028764e-07,4.804084511116963468e-02
4.310000000000000568e+02,2.320185614849187772e+01,2.805479379222551789e-07,5.211486549637606158e-02
4.320000000000000000e+02,2.314814814814814881e+01,3.045191370391580909e-07,5.683057943079583563e-02
4.330000000000000000e+02,2.309468822170900637e+01,3.292112850209716595e-07,6.172349461729696035e-02
4.340000000000000000e+02,2.304147465437787901e+01,3.565721653139362328e-07,6.716250676987177426e-02
4.350000000000000000e+02,2.298850574712643535e+01,3.891951977529953613e-07,7.364546129481054637e-02
4.360000000000000000e+02,2.293577981651376163e+01,4.178427895261389559e-07,7.943024291776090706e-02
4.370000000000000000e+02,2.288329519450800831e+01,4.504831388658432153e-07,8.602831454607121064e-02
4.380000000000000000e+02,2.283105022831050235e+01,4.884190876456680683e-07,9.370027145029553861e-02
4.390000000000000000e+02,2.277904328018223268e+01,5.209606085299710545e-07,1.004000494365045598e-01
4.400000000000000000e+02,2.272727272727272663e+01,5.713954075302873155e-07,1.106221508978636331e-01
4.410000000000000000e+02,2.267573696145124629e+01,6.227814756217763132e-07,1.211191641603986818e-01
4.420000000000000000e+02,2.262443438914027283e+01,6.691365159586370348e-07,1.307251863037431627e-01
4.429999999999999432e+02,2.257336343115124322e+01,7.190756249425712878e-07,1.411178723193546314e-01
4.440000000000000000e+02,2.252252252252252163e+01,7.764137659737039199e-07,1.530591041689920995e-01
4.449999999999999432e+02,2.247191011235955216e+01,8.359851211887446097e-07,1.655459536234011042e-01
4.460000000000000000e+02,2.242152466367712904e+01,8.991487161845577877e-07,1.788550660285674887e-01
4.470000000000000000e+02,2.237136465324384815e+01,9.693313341923613214e-07,1.936811245536415038e-01
4.479999999999999432e+02,2.232142857142857295e+01,1.038221648308848155e-06,2.083752377021790003e-01
4.490000000000000000e+02,2.227171492204899650e+01,1.112123771500313830e-06,2.242052644582347709e-01
4.500000000000000000e+02,2.222222222222222143e+01,1.178748279222719632e-06,2.386965265426007066e-01
4.510000000000000000e+02,2.217294900221729392e+01,1.248614662834254217e-06,2.539694710351501628e-01
4.520000000000000000e+02,2.212389380530973426e+01,1.339676188220087196e-06,2.737012039581167011e-01
4.530000000000000000e+02,2.207505518763796815e+01,1.418213074894020008e-06,2.910300868859269641e-01
4.540000000000000000e+02,2.202643171806167288e+01,1.505758335826091117e-06,3.103608851471306163e-01
4.550000000000000000e+02,2.197802197802197810e+01,1.589503775472176208e-06,3.290670191171272685e-01
