# time delay / ns, fit / counts
1.501315800000000422e+01,2.705023038987706627e+02
1.511064600000000269e+01,2.692517695930103514e+02
1.520813400000000115e+01,2.680179100346354630e+02
1.530562199999999962e+01,2.668004400408181596e+02
1.540311000000000519e+01,2.655990794334124985e+02
1.550059800000000365e+01,2.644135529509269986e+02
1.559808600000000212e+01,2.632435901620439154e+02
1.569557400000000058e+01,2.620889253806614647e+02
1.579306199999999905e+01,2.609492975824302334e+02
1.589055000000000462e+01,2.598244503227576274e+02
1.598803800000000308e+01,2.587141316562554607e+02
1.608552600000000155e+01,2.576180940576039120e+02
1.618301400000000001e+01,2.565360943438084291e+02
1.628050200000000558e+01,2.554678935978237178e+02
1.637799000000000404e+01,2.544132570935221906e+02
1.647547800000000251e+01,2.533719542219811842e+02
1.657296600000000097e+01,2.523437584190684220e+02
1.667045399999999944e+01,2.513284470943002304e+02
1.676794200000000501e+01,2.503258015609521294e+02
1.686543000000000347e+01,2.493356069673986326e+02
1.696291800000000194e+01,2.483576522296608005e+02
1.706040700000000498e+01,2.473917201180397569e+02
1.715789500000000345e+01,2.464376267007234560e+02
1.725538300000000191e+01,2.454951618342834081e+02
1.735287100000000038e+01,2.445641288542626626e+02
1.745035899999999884e+01,2.436443345439771235e+02
1.754784700000000441e+01,2.427355890738768380e+02
1.764533500000000288e+01,2.418377059419753152e+02
1.774282300000000134e+01,2.409505019153254182e+02
1.784031099999999981e+01,2.400737969725258836e+02
1.793779900000000538e+01,2.392074142472390577e+02
1.803528700000000384e+01,2.383511799727021980e+02
1.813277500000000231e+01,2.375049234272147771e+02
1.823026300000000077e+01,2.366684768805852173e+02
1.832775099999999924e+01,2.358416755415194643e+02
1.842523900000000481e+01,2.350243575059351997e+02
1.852272700000000327e+01,2.342163637061856036e+02
1.862021500000000174e+01,2.334175378611756742e+02
1.871770300000000020e+01,2.326277264273570324e+02
1.881519099999999867e+01,2.318467785505842755e+02
1.891267900000000424e+01,2.310745460188182392e+02
1.901016700000000270e+01,2.303108832156619314e+02
1.910765500000000117e+01,2.295556470747131925e+02
1.920514299999999963e+01,2.288086970347205806e+02
1.930263100000000520e+01,2.280698949955285855e+02
1.940011900000000367e+01,2.273391052747974754e+02
1.949760700000000213e+01,2.266161945654844203e+02
1.959509600000000518e+01,2.259010245974654367e+02
1.969258400000000364e+01,2.251934813604349017e+02
1.979007200000000211e+01,2.244934310501460004e+02
1.988756000000000057e+01,2.238007494503442842e+02
1.998504799999999904e+01,2.231153145184390496e+02
2.008253600000000461e+01,2.224370063472798051e+02
2.018002400000000307e+01,2.217657071276054239e+02
2.027751200000000154e+01,2.211013011111535036e+02
2.037500000000000000e+01,2.204436745744192194e+02
2.047248800000000557e+01,2.197927157830512783e+02
2.056997600000000403e+01,2.191483149568746569e+02
2.066746400000000250e+01,2.185103642355281579e+02
2.076495200000000096e+01,2.178787576447070080e+02
2.086243999999999943e+01,2.172533910629989293e+02
2.095992800000000500e+01,2.166341621893038223e+02
2.105741600000000346e+01,2.160209705108268281e+02
2.115490400000000193e+01,2.154137172716337432e+02
2.125239200000000039e+01,2.148123054417604578e+02
2.134987999999999886e+01,2.142166396868653067e+02
2.144736800000000443e+01,2.136266263384154627e+02
2.154485600000000289e+01,2.130421733643978541e+02
2.164234400000000136e+01,2.124631903405452249e+02
2.173983199999999982e+01,2.118895884220684138e+02
2.183732000000000539e+01,2.113212803158859572e+02
2.193480800000000386e+01,2.107581802533425162e+02
2.203229600000000232e+01,2.102002039634064658e+02
2.212978500000000537e+01,2.096472630000855872e+02
2.222727300000000383e+01,2.090992873520386865e+02
2.232476100000000230e+01,2.085561913874394975e+02
2.242224900000000076e+01,2.080178965670538958e+02
2.251973699999999923e+01,2.074843257221708086e+02
2.261722500000000480e+01,2.069554030305073695e+02
2.271471300000000326e+01,2.064310539925389492e+02
2.281220100000000173e+01,2.059112054082444558e+02
2.290968900000000019e+01,2.053957853542615055e+02
2.300717699999999866e+01,2.048847231614430768e+02
2.310466500000000423e+01,2.043779493928092847e+02
2.320215300000000269e+01,2.038753958218868831e+02
2.329964100000000116e+01,2.033769954114296752e+02
2.339712899999999962e+01,2.028826822925133513e+02
2.349461700000000519e+01,2.023923917439983313e+02
2.359210500000000366e+01,2.019060601723536479e+02
2.368959300000000212e+01,2.014236250918356461e+02
2.378708100000000059e+01,2.009450251050157306e+02
2.388456899999999905e+01,2.004701998836504231e+02
2.398205700000000462e+01,1.999990901498877918e+02
2.407954500000000309e+01,1.995316376578051631e+02
2.417703300000000155e+01,1.990677851752706147e+02
2.427452100000000002e+01,1.986074764661244956e+02
2.437200900000000559e+01,1.981506562726736149e+02
2.446949700000000405e+01,1.976972702984942316e+02
2.456698500000000251e+01,1.972472651915367123e+02
2.466447400000000556e+01,1.968005839625591875e+02
2.476196200000000402e+01,1.963571842620493442e+02
2.485945000000000249e+01,1.959170108738206295e+02
2.495693800000000095e+01,1.954800140602461909e+02
2.505442599999999942e+01,1.950461449479532803e+02
2.515191400000000499e+01,1.946153555126352046e+02
2.524940200000000345e+01,1.941875985641300986e+02
2.534689000000000192e+01,1.937628277317620871e+02
2.544437800000000038e+01,1.933409974499408577e+02
2.554186599999999885e+01,1.929220629440139021e+02
2.563935400000000442e+01,1.925059802163680445e+02
2.573684200000000288e+01,1.920927060327753964e+02
2.583433000000000135e+01,1.916821979089794468e+02
2.593181799999999981e+01,1.912744140975169671e+02
2.602930600000000538e+01,1.908693135747720930e+02
2.612679400000000385e+01,1.904668560282579790e+02
2.622428200000000231e+01,1.900670018441218758e+02
2.632177000000000078e+01,1.896697120948704764e+02
2.641925799999999924e+01,1.892749485273110679e+02
2.651674600000000481e+01,1.888826735507043963e+02
2.661423399999999617e+01,1.884928502251267162e+02
2.671172200000000885e+01,1.881054422500356509e+02
2.680921000000000731e+01,1.877204139530381326e+02
2.690669800000000578e+01,1.873377302788550196e+02
2.700418600000000424e+01,1.869573567784804027e+02
2.710167400000000271e+01,1.865792595985315643e+02
2.719916299999999865e+01,1.862034016267895140e+02
2.729665099999999711e+01,1.858297578804138084e+02
2.739413899999999558e+01,1.854582923640166428e+02
2.749162700000000825e+01,1.850889735039096422e+02
2.758911500000000672e+01,1.847217702715219048e+02
2.768660300000000518e+01,1.843566521738255233e+02
