# delay / ps , transient absorption / mOD
2.599999999999999645e+00,1.322083952552217312e+01
2.620000000000000107e+00,1.330445652480939422e+01
2.640000000000000124e+00,1.315842078985483532e+01
2.660000000000000142e+00,1.304601723097541921e+01
2.679999999999999716e+00,1.317017141203635155e+01
2.699999999999999734e+00,1.315612725689002538e+01
2.720000000000000195e+00,1.304488505490027528e+01
2.740000000000000213e+00,1.295340285028301075e+01
2.759999999999999787e+00,1.320989338818432479e+01
2.779999999999999805e+00,1.303522320619066655e+01
2.800000000000000266e+00,1.333264671586837480e+01
2.820000000000000284e+00,1.332630322616029517e+01
2.839999999999999858e+00,1.309432579555340226e+01
2.859999999999999876e+00,1.284731656553717549e+01
2.879999999999999893e+00,1.311573444743336303e+01
2.900000000000000355e+00,1.328495060766404201e+01
2.919999999999999929e+00,1.330152586794364389e+01
2.939999999999999947e+00,1.314185801518097030e+01
2.959999999999999964e+00,1.335577688071704650e+01
2.979999999999999982e+00,1.324684872689771531e+01
3.000000000000000000e+00,1.331800406686415705e+01
3.112340000000000106e+00,1.299547752462859762e+01
3.228900000000000325e+00,1.342273938727887739e+01
3.349809999999999732e+00,1.329996100656153324e+01
3.475260000000000016e+00,1.307732422294723484e+01
3.605399999999999938e+00,1.301541005038683529e+01
3.740409999999999791e+00,1.300930642722115671e+01
3.880479999999999485e+00,1.294242713518572607e+01
4.025800000000000267e+00,1.298875086614296492e+01
4.176560000000000272e+00,1.308529293951792560e+01
4.332959999999999923e+00,1.306910825306436230e+01
4.495230000000000281e+00,1.286879766589569840e+01
4.663560000000000372e+00,1.293223993322923526e+01
4.838210000000000122e+00,1.276036998433452929e+01
5.019390000000000462e+00,1.277263694229508140e+01
5.207349999999999923e+00,1.257069165762669272e+01
5.402359999999999829e+00,1.288672592670228312e+01
5.604669999999999597e+00,1.263341284951547294e+01
5.814549999999999663e+00,1.283552911721755585e+01
6.032299999999999329e+00,1.248582964812602292e+01
6.258189999999999920e+00,1.270022884842433974e+01
6.492550000000000487e+00,1.270568882135517264e+01
6.735679999999999445e+00,1.266217690994954204e+01
6.987920000000000798e+00,1.305367765748748887e+01
7.249610000000000554e+00,1.264559062067666595e+01
7.521089999999999165e+00,1.263962293771708545e+01
7.802740000000000009e+00,1.291843545947012828e+01
8.094939999999999358e+00,1.249415083236465129e+01
8.398080000000000211e+00,1.261607336889827913e+01
8.712569999999999482e+00,1.262440446175534170e+01
9.038839999999998653e+00,1.247742324657299839e+01
9.377330000000000609e+00,1.235062620783181941e+01
9.728490000000000748e+00,1.222612558955716366e+01
1.009280000000000044e+01,1.236772669032996141e+01
1.047080000000000055e+01,1.216912781189357240e+01
1.086289999999999978e+01,1.189576170907759334e+01
1.126970000000000027e+01,1.193981295802818465e+01
1.169169999999999909e+01,1.202304299128904752e+01
1.212950000000000017e+01,1.209148193522602277e+01
1.258380000000000010e+01,1.227259796819315874e+01
1.305499999999999972e+01,1.197086169419879731e+01
1.354390000000000072e+01,1.217541508538018391e+01
1.405109999999999992e+01,1.188144750150339668e+01
1.457729999999999926e+01,1.204941362526367321e+01
1.512320000000000064e+01,1.195693393131619153e+01
1.568949999999999889e+01,1.228878256746994779e+01
1.627700000000000102e+01,1.203546811651986026e+01
1.688660000000000139e+01,1.198515535352350270e+01
1.751889999999999858e+01,1.181065182827178894e+01
1.817500000000000071e+01,1.216489035656257478e+01
1.885559999999999903e+01,1.199476985967564779e+01
1.956170000000000186e+01,1.202382180704653614e+01
2.029429999999999978e+01,1.177015828395564512e+01
2.105419999999999803e+01,1.187181419097575485e+01
2.184270000000000067e+01,1.197293090008702166e+01
2.266069999999999851e+01,1.178155093465370662e+01
2.350929999999999964e+01,1.168282132163079012e+01
2.438960000000000150e+01,1.155857569456092016e+01
2.530300000000000082e+01,1.177373738914218926e+01
2.625050000000000239e+01,1.147698682361534317e+01
2.723359999999999914e+01,1.147160712510325276e+01
2.825339999999999918e+01,1.144682889405305559e+01
2.931139999999999901e+01,1.151677980352835995e+01
3.040909999999999869e+01,1.126697151652607509e+01
3.154789999999999850e+01,1.117583456372845951e+01
3.272930000000000206e+01,1.125742977797007960e+01
3.395490000000000208e+01,1.130606080325519613e+01
3.522650000000000148e+01,1.133681695221059726e+01
3.654560000000000031e+01,1.078636632722702160e+01
3.791420000000000101e+01,1.108560613477860990e+01
3.933399999999999608e+01,1.075878993036034359e+01
4.080700000000000216e+01,1.093388829083132485e+01
4.233510000000000417e+01,1.065473471512791903e+01
4.392049999999999699e+01,1.091582609872566501e+01
4.556530000000000058e+01,1.057253962975591044e+01
4.727159999999999940e+01,1.036666761991680019e+01
4.904179999999999495e+01,1.048861949656381753e+01
5.087829999999999586e+01,1.045272634935376210e+01
5.278359999999999985e+01,1.023821599015635719e+01
5.476030000000000086e+01,1.014264106807847021e+01
5.681099999999999994e+01,9.980152737652780104e+00
5.893840000000000146e+01,9.676355891687276056e+00
6.114559999999999462e+01,9.696756958698777851e+00
6.343530000000000513e+01,9.624477537252241532e+00
6.581090000000000373e+01,9.277004649941927639e+00
6.827540000000000475e+01,9.450426330573877820e+00
7.083220000000000027e+01,9.197482158798571561e+00
7.348470000000000368e+01,8.996212120426582359e+00
7.623659999999999570e+01,9.047447313759008125e+00
7.909149999999999636e+01,8.789767456109055743e+00
8.205329999999999302e+01,8.709387492443436685e+00
8.512600000000000477e+01,8.567165269830081087e+00
8.831380000000000052e+01,8.565063317624321826e+00
9.162099999999999511e+01,8.197373956793880367e+00
9.505209999999999582e+01,7.784008702990935724e+00
9.861159999999999570e+01,7.552918599786359266e+00
1.023039999999999878e+02,7.935751599288516367e+00
1.061359999999999957e+02,8.069470580546454386e+00
1.101099999999999994e+02,7.748529927217324698e+00
1.142339999999999947e+02,7.233640828161828296e+00
1.185109999999999957e+02,7.188164386341957091e+00
1.229489999999999839e+02,7.183950333586974324e+00
1.275540000000000020e+02,7.089774087632647159e+00
1.323299999999999841e+02,6.973148247750727613e+00
1.372860000000000014e+02,6.595657139105425948e+00
1.424269999999999925e+02,6.575413923330782673e+00
1.477599999999999909e+02,6.386439579422070523e+00
1.532940000000000111e+02,6.248717816310487727e+00
1.590339999999999918e+02,5.975826876599278137e+00
1.649899999999999807e+02,5.959981915556018528e+00
1.711680000000000064e+02,5.913849824943752331e+00
1.775780000000000030e+02,5.517618577258916801e+00
1.842280000000000086e+02,5.385995071246214572e+00
1.911269999999999811e+02,5.371926538221298841e+00
1.982849999999999966e+02,5.155448588625234585e+00
2.057100000000000080e+02,4.998316151264240226e+00
2.134139999999999873e+02,4.943720685383983238e+00
2.214060000000000059e+02,4.573192543607746963e+00
2.296970000000000027e+02,4.661398905084899624e+00
2.382979999999999734e+02,4.303427195293127561e+00
2.472220000000000084e+02,4.036046741700818785e+00
2.564799999999999613e+02,4.214147659247369226e+00
2.660850000000000364e+02,4.138953645072295906e+00
2.760489999999999782e+02,3.948788733711244170e+00
2.863870000000000005e+02,3.758957915560341423e+00
2.971119999999999663e+02,3.573130974416005579e+00
3.082379999999999995e+02,3.409649903611144506e+00
3.197810000000000059e+02,3.330001724005458463e+00
3.317560000000000286e+02,3.338497947311310554e+00
3.441800000000000068e+02,3.327942583773494611e+00
3.570680000000000405e+02,3.023310205179187804e+00
3.704399999999999977e+02,2.896017041889677124e+00
3.843120000000000118e+02,2.993314235125883016e+00
3.987040000000000077e+02,2.880125755268042376e+00
4.136349999999999909e+02,2.628640742533903119e+00
4.291250000000000000e+02,2.463370941997987007e+00
4.451949999999999932e+02,2.712145274329277989e+00
4.618659999999999854e+02,2.565340190835069922e+00
4.791620000000000346e+02,2.614148213197411419e+00
4.971059999999999945e+02,2.477817763977854248e+00
5.157219999999999800e+02,2.358528779766564387e+00
5.350339999999999918e+02,2.587280924688347916e+00
5.550700000000000500e+02,2.155017682269887214e+00
5.758569999999999709e+02,2.306308649064201521e+00
5.974220000000000255e+02,2.087178102195418106e+00
6.197939999999999827e+02,2.192485419409276659e+00
6.430040000000000191e+02,2.053179846854468416e+00
6.670829999999999700e+02,2.183851142018471858e+00
6.920639999999999645e+02,2.366979007772587629e+00
7.179809999999999945e+02,2.143009771164665622e+00
7.448680000000000518e+02,2.251174213009467184e+00
7.727620000000000573e+02,2.337805356054844630e+00
8.017000000000000455e+02,2.004504395638432968e+00
8.317219999999999800e+02,2.058832540544371703e+00
8.628690000000000282e+02,2.048654477344879599e+00
8.951820000000000164e+02,1.886507728479063672e+00
9.287040000000000646e+02,1.993186278888511742e+00
9.634829999999999472e+02,2.273990059432571265e+00
9.995629999999999882e+02,2.126329516372984507e+00
1.037000000000000000e+03,2.067513583791525278e+00
1.075829999999999927e+03,2.284649305038397582e+00
1.116120000000000118e+03,1.996664884331260437e+00
1.157910000000000082e+03,1.966000336091253242e+00
1.201269999999999982e+03,1.972015430930447177e+00
1.246259999999999991e+03,2.257830245483444909e+00
1.292930000000000064e+03,2.198492601179893313e+00
1.341349999999999909e+03,2.050984293021708815e+00
1.391580000000000155e+03,1.726179266759916731e+00
1.443690000000000055e+03,1.996500292033415613e+00
1.497750000000000000e+03,2.003000736137114046e+00
1.553840000000000146e+03,2.020000932181379660e+00
1.612029999999999973e+03,2.042336458036182467e+00
1.672399999999999864e+03,2.119995624272789758e+00
1.735029999999999973e+03,2.007170261733172367e+00
