Wavelength,S2c / R1c,
nm,CPS / MicroAmps,
680,16923.8049446093
681,10826.0204128916
682,10613.3256589411
683,17631.1952438505
684,10760.9891460803
685,21078.7432852378
686,19959.8283978323
687,22091.5354948211
688,22867.3584273255
689,20392.8158038188
690,28786.9866760267
691,31978.7967938444
692,33811.8590892317
693,38577.1102576096
694,36338.7904725371
695,42770.9770728497
696,43187.8972166223
697,50857.3935317658
698,59726.9175247143
699,57614.0569092888
700,69117.4017777968
701,70846.6783835014
702,85096.8723698789
703,95886.7571722276
704,88533.4553428349
705,97034.917098746
706,106175.285385071
707,120605.495038547
708,112564.354835022
709,129155.569349427
710,137681.553636754
711,150576.868952141
712,166190.549124292
713,168142.584976293
714,170858.574905738
715,188142.82453261
716,202370.211493566
717,221549.79870511
718,229499.651248998
719,232314.014725131
720,233671.771257217
721,266720.114854219
722,265582.051184439
723,279816.502143166
724,293394.86326811
725,308949.843728925
726,323864.574001495
727,326282.847002797
728,328167.315313124
729,356580.359755918
730,365764.449238477
731,379336.927206998
732,381100.902899632
733,388587.026982966
734,414411.21196735
735,416738.82352633
736,421800.391135396
737,437127.668274906
738,445011.457939259
739,438663.957917713
740,464712.676319795
741,452505.957936733
742,470978.819026666
743,472338.319008911
744,471413.042096753
745,476471.738362174
746,464831.303067166
747,469794.745007041
748,478769.778740557
749,472596.702721279
750,470160.856700441
751,468373.110414195
752,446903.932469097
753,453700.6765773
754,465889.619291948
755,458520.803056049
756,446376.051986237
757,447128.051177056
758,435304.583621626
759,420125.236487813
760,433429.668912989
761,417465.189968573
762,405609.638966073
763,395104.794544646
764,397335.840772177
765,375765.914884656
766,377107.979057843
767,375116.094965745
768,358091.313491025
769,344324.019517317
770,335802.630050813
771,342657.600762342
772,346087.063871387
773,306445.269675255
774,285982.840474533
775,296414.3350977
776,286076.20907003
777,279354.721100074
778,257430.443989793
779,267819.317695456
780,253714.653161727
781,246583.485910349
782,225598.464542276
783,229185.806723682
784,219727.321165783
785,205503.351592512
786,217293.406039148
787,209219.69515271
788,199635.702638601
789,193523.241725583
790,196341.45816675
791,190811.482311593
792,166294.628266064
793,180365.257917012
794,194593.374144275
795,174618.435617714
796,176250.049781523
797,162270.43072131
798,180988.170658946
799,165221.583427495
800,151185.134319374
801,153815.967841582
802,156510.085060588
803,146138.598185319
804,159023.994533339
805,149473.528104015
806,137078.324437249
807,151996.68847847
808,144790.413766684
809,146105.583616392
810,144405.452835065
811,142582.568500509
812,144997.737505225
813,135080.940474607
814,119523.837430467
815,124227.572414552
816,133404.015172096
817,136313.635056807
818,124691.164909772
819,121178.744905495
820,136817.488879283
821,125313.045476372
822,138089.727531952
823,121370.041477654
824,131363.685890935
825,125900.129862012
826,119725.19231135
827,112590.231482408
828,117713.127473325
829,119063.766377611
830,119129.510497009
831,119731.985762412
832,117286.605332797
833,106811.542122598
834,115584.954217585
835,113836.154944849
836,99542.0936432354
837,111316.542249748
838,104100.089351217
839,110549.293377738
840,105730.943857219
841,98831.2999407292
842,101267.870623756
843,94678.4505597341
844,97370.640545763
845,88897.7330708653
846,81374.1294153238
847,83199.7675153619
848,79580.209997108
849,89956.9665398548
850,90133.2165513421
851,80562.6476655978
852,73753.7719239387
853,75840.1432817328
854,71123.2742374753
855,72768.7075631581
856,77832.5288073114
857,79542.5528791296
858,63058.7634806534
859,72120.7720872766
860,69751.7477633573
861,65429.0857380954
862,62178.5004278257
863,61997.8180800861
864,64263.1106010016
865,62541.7150525887
866,53997.9441916188
867,60435.9097437969
868,61298.9224760069
869,60769.5693156203
870,52250.6182413569
871,59466.4440232831
872,60941.9835239503
873,50382.388574905
874,43615.7730981034
875,47400.6528192481
876,42189.7390848671
877,45977.0854939768
878,48236.0728872035
879,51369.866948868
880,42507.5648142916
881,46828.1917573707
882,41848.3425277664
883,44535.4719495004
884,38689.5305217515
885,31394.5132570278
886,36699.8131991023
887,33580.8937057165
888,32493.6663857296
889,39244.885013826
890,35721.4222229821
891,36433.612757449
892,30132.886614547
893,29664.2868497225
894,38981.7478508661
895,35539.7242350529
896,33761.1756974667
897,29247.2118091388
898,24288.9161740729
899,23499.6397654873
900,31582.370677071
901,32828.1461962371
902,30864.8455201116
903,26936.3418195476
904,28731.1384810621
905,26597.7176728909
906,26149.7884785135
907,26590.03341955
908,28377.6697772723
909,29929.1407351992
910,23024.2857191019
911,30006.3436983499
912,26725.7239159809
913,20378.2757255306
914,20564.9211623564
915,22063.6576768946
916,20076.7719057727
917,26911.2382763574
918,20787.9902711302
919,22852.4627889575
920,22135.7387488269
921,21171.5509594132
922,20122.42669296
923,20257.1050200836
924,16335.7768634251
925,19928.9239395038
926,21939.3152117287
927,21712.6885268465
928,23706.8700899819
929,19886.0992489996
930,16982.4677521824
931,17552.0171747104
932,19902.3461075386
933,18445.7315816569
934,20938.4811870831
935,20908.1129933556
936,20389.733155715
937,14605.593861922
938,23147.3985784289
939,16371.6514839669
940,19149.7936582458
941,14343.6923658046
942,14432.1719236379
943,19014.650245859
944,16352.2609072287
945,18405.8145514623
946,14409.5653484931
947,14442.4270756903
948,13470.5528836616
949,9180.19080395909
950,16259.8339287948
951,17379.0551013243
952,11821.8426316694
953,15483.5719445586
954,16532.0372679866
955,15929.1683781787
956,16766.6617313299
957,14446.2914795457
958,14499.2604236556
959,12855.2706524566
960,11195.4490317328
961,13732.7664031438
962,11775.5654678596
963,13966.2590899467
964,10672.5589450564
965,10575.3736406773
966,11248.3835897117
967,12653.0488832727
968,8420.231084757
969,8237.62075857799
970,10839.995890239
971,8859.72210448128
972,9388.34743372493
973,10804.0279145584
974,7879.73713012061
975,12443.2273284496
976,10112.9833741583
977,10805.7831326709
978,12912.7655084027
979,7943.63961952393
980,8324.93922853274
981,7976.51181699913
982,12138.7054104899
983,9259.42569444707
984,7273.40991700495
985,4831.04055716311
986,7677.42296410308
987,6706.8897346761
988,8205.15679762952
989,9280.09243691289
990,8152.96537090823
991,8933.47033404593
992,8940.49312144927
993,8879.55610178079
994,6780.7355709102
995,9193.58779401647
996,4075.26085096469
997,5887.02532430012
998,2033.91848195276
999,5595.25175703707
1000,3214.78653969095
1001,4146.48551307288
1002,8474.0341323319
1003,6484.81399594479
1004,7421.56045989184
1005,5156.33487343528
1006,5093.71064315421
1007,6134.90501938323
1008,4614.05249752073
1009,7990.44482337779
1010,7684.8716484722
1011,10135.4172732966
1012,4792.07901792136
1013,6330.23093375215
1014,5530.27361258136
1015,7023.16513560806
1016,4409.59693166079
1017,3412.01654328512
1018,1757.6863232704
1019,4172.79736751136
1020,6225.72838081369
1021,3574.50563132189
1022,5804.2248819751
1023,4992.40558256154
1024,6893.00038188777
1025,4039.38630565812
1026,6461.31385886855
1027,6071.73036129392
1028,5058.79519588306
1029,5447.38474631352
1030,7077.96005239454
1031,3479.05554356564
1032,6282.8236061544
1033,4124.56788985899
1034,5744.28140079302
1035,786.651347070243
1036,5276.57539806663
1037,4139.34446914817
1038,2474.6334088027
1039,5960.68580826354
1040,4088.58853984862
1041,5349.84862720721
1042,3198.81803262561
1043,3905.2677292965
1044,3115.57416758829
1045,6008.77569962374
1046,6271.08249323626
1047,1894.40538773615
1048,4209.40826651768
1049,3742.98060913404
1050,2095.10685659238
1051,3704.94755636058
1052,3279.90892288347
1053,5066.42473929342
1054,2703.43542105359
1055,4192.7216341923
1056,5359.19706784867
1057,6279.83947667184
1058,6481.57000337167
1059,6752.55124523681
1060,3369.80348708329
1061,3200.01018061166
1062,2809.86863298123
1063,4757.55437011948
1064,2236.4759233392
1065,3966.03627605312
1066,3583.5253557717
1067,416.520008846658
1068,3940.21412096752
1069,3976.2966701315
1070,3874.42294396627
1071,3120.00896736906
1072,731.898923219983
1073,-290.167836924758
1074,3268.02862763658
1075,2052.02839036504
1076,2868.29234276639
1077,2672.72438935824
1078,4638.0808492881
1079,2454.6442466148
1080,5053.64487092323
1081,4818.29087637737
1082,1892.63541605055
1083,3047.95909625654
1084,2462.30252777233
1085,2026.01297966155
1086,-565.137421586229
1087,1906.07273997687
1088,6457.81401319456
1089,5522.7158685202
1090,2778.55046468518
1091,1962.89917749256
1092,672.974461541939
1093,1421.96705540615
1094,2611.92175955368
1095,1818.56423185679
1096,-720.034193708134
1097,-1144.61275372923
1098,2245.70883551825
1099,1548.00446249781
1100,5383.25901348221
