# wavenlength / nm,    wavenumber / 10^3 cm-1,  norm. absorbance
5.610199585000000297e+02,1.782467780065617546e+01,8.577466738750895159e-01
5.599717407000000549e+02,1.785804402825644033e+01,8.746093145957551940e-01
5.590729979999999841e+02,1.788675188351700740e+01,8.744673463585626028e-01
5.580242309999999861e+02,1.792036876620865016e+01,8.801279080359252216e-01
5.569752197000000251e+02,1.795412012294951865e+01,8.914179835814197705e-01
5.559259643999999980e+02,1.798800674977072589e+01,8.994423006190970238e-01
5.550263671999999815e+02,1.801716205024286310e+01,8.966007588903938119e-01
5.539766234999999597e+02,1.805130320629855945e+01,8.977925703796766355e-01
5.529266357000000198e+02,1.808558198202930356e+01,8.957859479536305347e-01
5.520263671999999815e+02,1.811507673215360015e+01,9.003393160800093886e-01
5.509758911000000126e+02,1.814961445960080511e+01,8.988858486089494892e-01
5.499251099000000522e+02,1.818429422475076151e+01,9.003681124129669922e-01
5.490242919999999458e+02,1.821413031392789605e+01,9.019076460867332390e-01
5.479730224999999564e+02,1.824907356639076283e+01,9.000470943240793664e-01
5.470717773000000079e+02,1.827913706196592614e+01,8.992622861574521842e-01
5.460200194999999894e+02,1.831434680574015061e+01,9.012829847634997726e-01
5.449680176000000529e+02,1.834970067425108908e+01,9.071266172100261871e-01
5.440661621000000423e+02,1.838011752357792616e+01,9.074720873784429820e-01
5.430136718999999630e+02,1.841574258160036592e+01,9.089763903876330042e-01
5.419609375000000000e+02,1.845151432154646542e+01,9.098241799729059887e-01
5.410584106000000020e+02,1.848229286170900565e+01,9.106073795566286266e-01
5.400052490000000489e+02,1.851833851340952108e+01,9.185488480972020531e-01
5.389517822000000251e+02,1.855453554523935722e+01,9.251294301301853373e-01
5.380486449999999650e+02,1.858568011076396331e+01,9.282890135296096856e-01
5.369946899000000258e+02,1.862215807359699582e+01,9.332983706464338391e-01
5.359405517999999802e+02,1.865878587916921916e+01,9.396896073573394181e-01
5.350367432000000463e+02,1.869030515584971397e+01,9.480474905101462513e-01
5.339821167000000059e+02,1.872721892223623996e+01,9.550502780538197012e-01
5.329272461000000476e+02,1.876428738290399068e+01,9.588118401381433564e-01
5.320228270999999722e+02,1.879618597290071236e+01,9.680784020575071702e-01
5.309674682999999504e+02,1.883354555038377143e+01,9.731488896430509072e-01
5.300626830999999584e+02,1.886569328275733781e+01,9.810556100939195057e-01
5.290068969999999808e+02,1.890334522424950592e+01,9.833401368084585537e-01
5.279508057000000463e+02,1.894115870652226263e+01,9.895162892514337560e-01
5.270454101999999921e+02,1.897369715487183583e+01,9.921974428493074427e-01
5.259888306000000284e+02,1.901181055231327477e+01,9.968334187251475242e-01
5.249320678999999927e+02,1.905008402326262384e+01,9.978546265025705075e-01
5.240260620000000245e+02,1.908302034031276762e+01,1.000000000000000000e+00
5.229688109999999597e+02,1.912159920374295652e+01,9.986152238771042189e-01
5.220624390000000403e+02,1.915479692267230760e+01,9.954568469148583620e-01
5.210046996999999465e+02,1.919368482809868226e+01,9.950407545589986524e-01
5.199467773000000079e+02,1.923273772736585130e+01,9.902799434732790784e-01
5.190397338999999874e+02,1.926634773191879546e+01,9.855230734156759098e-01
5.179813842999999451e+02,1.930571310687931330e+01,9.784098480189125091e-01
5.170739746000000423e+02,1.933959257519358843e+01,9.711783826021784805e-01
5.160150757000000112e+02,1.937927876706800490e+01,9.613077508401394189e-01
5.149559937000000218e+02,1.941913507627943147e+01,9.540761245651149247e-01
5.140480347000000165e+02,1.945343494180661637e+01,9.440686720311780578e-01
5.129884643999999980e+02,1.949361573207336917e+01,9.337922439234546124e-01
5.119286804000000188e+02,1.953397100585653945e+01,9.223118584459327751e-01
5.110200805999999716e+02,1.956870263935377707e+01,9.133335767145898121e-01
5.099598389000000225e+02,1.960938732267687357e+01,8.985346674314282911e-01
5.090508727999999792e+02,1.964440203195345447e+01,8.883423746871325077e-01
5.079901732999999808e+02,1.968542016283132767e+01,8.767217898738202120e-01
5.069292603000000099e+02,1.972661825455096718e+01,8.664934616337029993e-01
5.060196837999999957e+02,1.976207708938139618e+01,8.533012497585055200e-01
5.049583129999999755e+02,1.980361495702319274e+01,8.390040963483904601e-01
5.040484008999999901e+02,1.983936459701999055e+01,8.316459453116437084e-01
5.029865722999999775e+02,1.988124644018454390e+01,8.234363853780887199e-01
5.019245300000000043e+02,1.992331396913396802e+01,8.108978713669319216e-01
5.010140076000000136e+02,1.995952178643238284e+01,8.029371786412693446e-01
4.999515076000000136e+02,2.000193988413927570e+01,7.886892516465866532e-01
4.990406189000000268e+02,2.003844901852336946e+01,7.845522975926483289e-01
4.979776916999999798e+02,2.008122083915431233e+01,7.774378657587063257e-01
4.970664368000000195e+02,2.011803505458487962e+01,7.682416043102043846e-01
4.960030517999999802e+02,2.016116627450153942e+01,7.579496522978655948e-01
4.949394530999999802e+02,2.020449155420138254e+01,7.508385180588781349e-01
4.940276183999999944e+02,2.024178330836412343e+01,7.435498632015409282e-01
4.929635925000000043e+02,2.028547371883249184e+01,7.368401821343950608e-01
4.920513915999999881e+02,2.032308041540757060e+01,7.261529699943974903e-01
4.909869080000000281e+02,2.036714184647872372e+01,7.193441926632251349e-01
4.900743408000000159e+02,2.040506749175226275e+01,7.100045152529164127e-01
4.890094604000000231e+02,2.044950212582839910e+01,7.008249042568560627e-01
4.879443358999999987e+02,2.049414095883554765e+01,6.932569772757642967e-01
4.870311889999999835e+02,2.053256593388314144e+01,6.841571179848200401e-01
4.859656372000000033e+02,2.057758663270358568e+01,6.770226576743365587e-01
4.850521239999999921e+02,2.061634101822838616e+01,6.654336442693888909e-01
4.839861450000000218e+02,2.066174848868865865e+01,6.525433866164872532e-01
4.830722655999999802e+02,2.070083652510975369e+01,6.435343388478177440e-01
4.820058594000000198e+02,2.074663576174775415e+01,6.327844675455482903e-01
4.809392394999999851e+02,2.079264734230528688e+01,6.250701082398067987e-01
4.800248108000000116e+02,2.083225653135344047e+01,6.121618328389945018e-01
4.789577636999999868e+02,2.087866771956869272e+01,5.993623062792223788e-01
4.780429687999999828e+02,2.091862165675680885e+01,5.904192158075721730e-01
4.769754944000000023e+02,2.096543767427561633e+01,5.781368486516408334e-01
4.760603333000000248e+02,2.100574087045029614e+01,5.705809871219195140e-01
4.749924621999999772e+02,2.105296566956763371e+01,5.590758677929635878e-01
4.739243468999999891e+02,2.110041415979424428e+01,5.447353194583006708e-01
4.730086365000000228e+02,2.114126303061699019e+01,5.367969072252460894e-01
4.719401245000000245e+02,2.118912862218393656e+01,5.259725125981143945e-01
4.710240784000000076e+02,2.123033717080566163e+01,5.159194935527080528e-01
4.699551392000000192e+02,2.127862675791332236e+01,5.047946324265499829e-01
4.690387268000000063e+02,2.132020114463605864e+01,5.005765993167028416e-01
4.679693604000000278e+02,2.136892037430063951e+01,4.898629240446693567e-01
4.670526123000000212e+02,2.141086407964835558e+01,4.831618497597320872e-01
4.659828491000000099e+02,2.146001729315577933e+01,4.720892716264215583e-01
4.650657348999999954e+02,2.150233665817206230e+01,4.667640450735491275e-01
4.639955749999999739e+02,2.155192967088101952e+01,4.585624481651648932e-01
4.629252013999999917e+02,2.160176194719478104e+01,4.528478739984355128e-01
4.620075378000000228e+02,2.164466849960559358e+01,4.470253957665873412e-01
4.609367371000000162e+02,2.169495116166126536e+01,4.403656250864840804e-01
4.600187682999999765e+02,2.173824350027068419e+01,4.354601105248824267e-01
4.589475707999999941e+02,2.178898121754695083e+01,4.292558857731946786e-01
4.580292357999999808e+02,2.183266747707461519e+01,4.256773544593792091e-01
4.569576111000000083e+02,2.188386790610127619e+01,4.241960961276355357e-01
4.560389404000000013e+02,2.192795201047703912e+01,4.155732589662624044e-01
4.549669494999999984e+02,2.197961854369819434e+01,4.127550433630344795e-01
4.540479126000000178e+02,2.202410741795358362e+01,4.093418872728664670e-01
4.529755248999999822e+02,2.207624794343496788e+01,4.087108714533875253e-01
4.520561523000000079e+02,2.212114567874226267e+01,4.050599080264651319e-01
4.509833679000000188e+02,2.217376673238507578e+01,4.078690746491236419e-01
4.500636597000000165e+02,2.221907897799552245e+01,4.064618570673708686e-01
4.489904784999999947e+02,2.227218722634894021e+01,4.080906741636315949e-01
4.480704345999999987e+02,2.231791974609341977e+01,4.063627606414065285e-01
4.469968567000000235e+02,2.237152196958614425e+01,4.104858799107377609e-01
4.460764770999999769e+02,2.241768062958906782e+01,4.141045082842502723e-01
4.450025024000000258e+02,2.247178374518731303e+01,4.184957590531773186e-01
4.439283447000000251e+02,2.252615792478366785e+01,4.216717915622839041e-01
4.430074463000000264e+02,2.257298400629614576e+01,4.276409839986448636e-01
4.419328613000000132e+02,2.262787150650840218e+01,4.359871635772554210e-01
4.410116577000000007e+02,2.267513755113145280e+01,4.480474081053590907e-01
4.399366759999999772e+02,2.273054406584642351e+01,4.549840374950672728e-01
4.390151367000000278e+02,2.277825788688802433e+01,4.686626827894140312e-01
4.379397887999999739e+02,2.283418920989350553e+01,4.788175732822123054e-01
4.370179137999999739e+02,2.288235718542300390e+01,4.918481504827879047e-01
4.359421692000000235e+02,2.293882240929125160e+01,5.092835719494620550e-01
4.350199584999999729e+02,2.298745104588115140e+01,5.246856666245978129e-01
4.339438781999999719e+02,2.304445459970542487e+01,5.454517577234481163e-01
4.330213317999999845e+02,2.309355051500952172e+01,5.633524576388829752e-01
4.319448242000000278e+02,2.315110504801367242e+01,5.813777124497334636e-01
4.310219726999999921e+02,2.320067336093837795e+01,6.030130283647296974e-01
4.299450989000000050e+02,2.325878356465665675e+01,6.230704032600435927e-01
4.290219116000000099e+02,2.330883278829714556e+01,6.448258900342889177e-01
4.279446715999999924e+02,2.336750674476677148e+01,6.702163337019902967e-01
4.270211792000000059e+02,2.341804221217887516e+01,6.891558168904186044e-01
4.259435730000000149e+02,2.347728815243797840e+01,7.169190650069624526e-01
4.250197143999999980e+02,2.352832036066137178e+01,7.359199204913390302e-01
4.239417419000000109e+02,2.358814669955008725e+01,7.582126761149046157e-01
4.230176086000000168e+02,2.363967786848294139e+01,7.796636743390897850e-01
4.219392394999999851e+02,2.370009485690415474e+01,8.028235236223699722e-01
4.210147704999999974e+02,2.375213579353506432e+01,8.181747026001271461e-01
4.199360351999999921e+02,2.381315048430499814e+01,8.349809581716418627e-01
4.190112609999999904e+02,2.386570703645122293e+01,8.523357032679262923e-01
4.179321593999999891e+02,2.392732833567150408e+01,8.670960837517642794e-01
4.170070800999999960e+02,2.398040819259461642e+01,8.796854327612579905e-01
4.159276123000000212e+02,2.404264517256239841e+01,8.944589248151475491e-01
4.150021972999999775e+02,2.409625795974068652e+01,9.036164966060352688e-01
4.140766601999999921e+02,2.415011750522228340e+01,9.117137688161600639e-01
4.129966430999999716e+02,2.421327186811703314e+01,9.203288033788183942e-01
4.120708007999999722e+02,2.426767434282133351e+01,9.277266896520671713e-01
4.109904480000000149e+02,2.433146572788475126e+01,9.305168333784168411e-01
4.100642700000000218e+02,2.438642118222101729e+01,9.323545411046531006e-01
4.089835509999999772e+02,2.445086110565850390e+01,9.293314567605456267e-01
4.080570678999999927e+02,2.450637615827460181e+01,9.299328724414281933e-01
4.069760132000000112e+02,2.457147270516335169e+01,9.252544267381481724e-01
4.060492249000000129e+02,2.462755593847705526e+01,9.217267709611181026e-01
4.049677733999999987e+02,2.469332291812433056e+01,9.167862671303345090e-01
4.040406798999999864e+02,2.474998310188716388e+01,9.071008782641732937e-01
4.029589232999999808e+02,2.481642525274238054e+01,8.938929810862765724e-01
4.020315246999999772e+02,2.487367130590592978e+01,8.803902884198026024e-01
4.009493712999999957e+02,2.494080478933525669e+01,8.673185680408490583e-01
4.000216980000000149e+02,2.499864394855901040e+01,8.521046924098610864e-01
3.989392090000000053e+02,2.506647572963930060e+01,8.378627177117186076e-01
3.980111999999999739e+02,2.512492110774772414e+01,8.191827189181463131e-01
3.969283752000000050e+02,2.519346215790520915e+01,8.000694952811939764e-01
3.960000916000000188e+02,2.525251941128591326e+01,7.828517323548908058e-01
3.950716552999999749e+02,2.531186397669162247e+01,7.650598208473172734e-01
3.939883118000000195e+02,2.538146361325635425e+01,7.474446262064340374e-01
3.930595703000000185e+02,2.544143624938980253e+01,7.279757972491800455e-01
3.919758911000000126e+02,2.551177311425212935e+01,7.008174238065565387e-01
3.910468750000000000e+02,2.557238182762616674e+01,6.859813530195404407e-01
3.899628296000000205e+02,2.564346968724528963e+01,6.628395619686401341e-01
3.890335387999999739e+02,2.570472466421704993e+01,6.432192730554702198e-01
3.879491577000000007e+02,2.577657355743757606e+01,6.204834397483371955e-01
3.870195312999999828e+02,2.583848925249318640e+01,5.968912503422747484e-01
3.859348449999999957e+02,2.591110942573739351e+01,5.781995078139127164e-01
3.850049437999999782e+02,2.597369244482932871e+01,5.623978905363173908e-01
3.840749207000000069e+02,2.603658677263901566e+01,5.451853958269853306e-01
3.829897156000000109e+02,2.611036169557133846e+01,5.292967473588791050e-01
3.820593872000000033e+02,2.617394136887208944e+01,5.129318809986745942e-01
3.809738464000000135e+02,2.624852097983805166e+01,4.973706850590330353e-01
3.800432433999999944e+02,2.631279511914616975e+01,4.874639780184342186e-01
3.789573669000000109e+02,2.638819263972461115e+01,4.772553164856428998e-01
3.780264892999999802e+02,2.645317268246789411e+01,4.673743487687521680e-01
3.769402771000000030e+02,2.652940162546508773e+01,4.547832706945738601e-01
3.760090941999999927e+02,2.659510143305464780e+01,4.492436435754846857e-01
3.749225769000000241e+02,2.667217344627185938e+01,4.459004260790042640e-01
3.739911194000000023e+02,2.673860282041766467e+01,4.389803261741442308e-01
3.730595397999999818e+02,2.680537269027103875e+01,4.416252838497405353e-01
3.719725037000000043e+02,2.688370753356842968e+01,4.352624002478249765e-01
3.710406494000000066e+02,2.695122492958853755e+01,4.303800913299186681e-01
3.699533081000000152e+02,2.703043811490112702e+01,4.369153480309097559e-01
3.690211792000000059e+02,2.709871563924588855e+01,4.307866521303375107e-01
3.679335022000000208e+02,2.717882427179527483e+01,4.388585871624803847e-01
3.670010985999999775e+02,2.724787483783297759e+01,4.487490060056668062e-01
3.660685424999999782e+02,2.731728853756943565e+01,4.529089647383960915e-01
3.649804077000000007e+02,2.739873097029257210e+01,4.586370118125582818e-01
3.640475769000000241e+02,2.746893712397072917e+01,4.638892431943278938e-01
3.629591369999999984e+02,2.755131082428157541e+01,4.744464716335445864e-01
3.620260314999999878e+02,2.762232306490921374e+01,4.760252579149620855e-01
3.609372559000000251e+02,2.770564644280047517e+01,4.760804768415071164e-01
3.600039062999999828e+02,2.777747636901127848e+01,4.748622422728233095e-01
3.590704041000000188e+02,2.784969155301095256e+01,4.668261412318043813e-01
3.579811707000000069e+02,2.793443012783577117e+01,4.592807364086111677e-01
3.570474242999999888e+02,2.800748393467685560e+01,4.521787720638074659e-01
3.559578857000000198e+02,2.809321102785727575e+01,4.380509753899254899e-01
3.550238646999999901e+02,2.816712056371234851e+01,4.328579444472863691e-01
3.539339904999999931e+02,2.825385599691363936e+01,4.234591468650544255e-01
3.529996947999999861e+02,2.832863639065107009e+01,4.229927018698120822e-01
3.520652771000000030e+02,2.840382352491869611e+01,4.099874216866249976e-01
3.509749755999999934e+02,2.849205981966310830e+01,4.099670714935025884e-01
3.500403137000000129e+02,2.856813803615328951e+01,4.116273388685963708e-01
3.489496765000000096e+02,2.865742734110257928e+01,4.100816919860204024e-01
3.480147400000000175e+02,2.873441509977422115e+01,4.230571709037688755e-01
3.469238280999999802e+02,2.882477128990264603e+01,4.230080248635024187e-01
3.459886169000000109e+02,2.890268497732186148e+01,4.228989544138399004e-01
3.450532837000000086e+02,2.898103125630390764e+01,4.276298034837889284e-01
3.439619445999999812e+02,2.907298367448525056e+01,4.286772736442603926e-01
3.430263671999999815e+02,2.915227794768775027e+01,4.302930602473663546e-01
3.419346924000000172e+02,2.924535071247424156e+01,4.285722651903078328e-01
3.409988402999999835e+02,2.932561292936455999e+01,4.359799243604123298e-01
3.400628967000000102e+02,2.940632482120475899e+01,4.308538157025974535e-01
3.389707946999999990e+02,2.950106662979717598e+01,4.351604081567150839e-01
3.380345763999999917e+02,2.958277258645545160e+01,4.347370363694397777e-01
3.369421997000000033e+02,2.967868082093487914e+01,4.403457977367848941e-01
3.360057067999999845e+02,2.976139927871010826e+01,4.390276221821324265e-01
3.350691223000000036e+02,2.984458827885257648e+01,4.430209991460771768e-01
3.339763184000000251e+02,2.994224275513781208e+01,4.466681820792979263e-01
3.330394896999999901e+02,3.002646926047100351e+01,4.585742721671619004e-01
3.319463501000000178e+02,3.012535006632085199e+01,4.600077117014733652e-01
3.310092773000000079e+02,3.021063361597810726e+01,4.759329180769900636e-01
3.300720825000000218e+02,3.029641260254114243e+01,4.816630966854388296e-01
